source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,ruwe,dist
4150200136218888064,269.9656740218128,0.41398016,-13.500122889843196,0.3992315,0.13955775090269223,0.51347464,5.7047763,-0.4820866690940134,0.6082993,-5.684370447065852,0.40439612,1.0701855,0.0401006795570874
4150200548549446528,269.9662008498747,0.076538056,-13.460707253033936,0.066139214,0.05818953131665408,0.08341863,7.3429785,-1.3254128221819255,0.10583924,-7.2223691381199835,0.07059035,0.9467471,0.04013615381103642
4150200308017712256,269.97089212923277,0.6041784,-13.474434714544282,0.58785313,0.7825279721351464,0.7264776,6.3001204,-1.4469153364777194,0.9518211,-6.13171695374138,0.6008952,1.047545,0.040146136810164754
4150200548541682816,269.96779005356603,1.355532,-13.463814552293245,1.0725518,0.4185982497408044,1.613618,0.85284466,-0.8431151564646391,2.4642222,-0.12845578180475084,1.1891981,1.0138953,0.04014811889455186
4150200617255630592,269.9529527941897,0.65251625,-13.446607127283658,0.63280934,0.18632576528298847,0.78987515,9.100931,-3.7135222030391923,0.96926033,-8.308832589138326,0.6791329,1.0421029,0.04015825800266144
4150194466865634688,269.91211488410715,0.7558617,-13.516207722427351,0.6836413,0.5982842492274757,0.9978694,3.5556176,-3.429556027205417,1.179533,0.9383825021210555,0.7335051,1.0071458,0.04017567548036958
4150194191984194816,269.93577615635036,0.18778293,-13.519795724792118,0.16635874,-0.04153292484038236,0.23841624,7.7790647,-2.14014306530015,0.273162,-7.478879046676173,0.18130526,1.0661932,0.04019464104991882
4150194260707147008,269.9235425717873,0.5501113,-13.519696164491288,0.5070889,0.49750463467781647,0.71072865,3.7106185,-0.5793873417638139,0.94778436,-3.665105833040268,0.53072286,1.0805738,0.04019620960822178
4150203602223898880,269.9295794393814,1.5026149,-13.439797600071737,1.3635063,,,,,,,,,0.040199025579772535
4150200548541686784,269.9674957092738,30.666105,-13.463005255788834,26.902542,,,,,,,,,0.040221465404585224
4150197490520990720,269.8889024312968,0.5237009,-13.484571441282908,0.48426992,0.03324618817162957,0.67783606,2.9760501,-2.4965582566352094,0.8628801,-1.6198984226002395,0.5542073,1.1241791,0.04023297016749501
