source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,ruwe
2489891050861216640,34.86320788857455,0.06089975,-3.9497393812713715,0.05221452,1.5184960461299335,0.06693324,51.63597,10.673743548041076,0.096482106,-50.5207345059476,0.062551044,1.0569541
2489891123876196992,34.83683256760217,0.033481408,-3.9546477720213606,0.029800307,0.7887298488749296,0.03673365,7.510827,5.486547797985208,0.054676577,5.129358550532893,0.03632634,0.964578
2489891153940428928,34.81273225311106,0.13130276,-3.96236744417219,0.120478936,0.9064907954107994,0.15052582,22.088747,11.53530471292586,0.19851913,-18.83744989647332,0.14528228,1.0542266
2489891158235920768,34.81698023991975,0.04612598,-3.963378428357081,0.04145556,0.7664560203784442,0.05145799,7.9247,7.144952575036131,0.06710104,-3.4279031613591893,0.04874493,0.93712103
2489891257019721472,34.85965861330128,0.31087908,-3.931956692176869,0.25839072,2.6381758193704123,0.3392041,12.04236,11.87433254242585,0.4886615,-2.004660114411728,0.3290348,0.96783054
2489891600617030784,34.79074784443942,0.09105598,-3.9462987576420554,0.0838125,1.093688834712807,0.10296656,13.482741,-6.970542647504416,0.13301817,-11.541050894131354,0.097128965,0.99261194
2489891982869641472,34.79340122819225,0.014790664,-3.9379293679565253,0.013446672,4.611875120681169,0.016191566,6.84598,-6.149419920153428,0.022218077,3.0086674794526407,0.015012151,0.8412837
2489892150372851456,34.818347448137686,0.15171473,-3.9085273853931937,0.13152175,3.80686419404158,0.18099962,35.02842,1.5777317630045742,0.25702104,-34.99287043964302,0.16046625,1.031147
2489892154668332928,34.83029990895344,0.044932608,-3.916619148916407,0.036479462,4.665232737835357,0.047286537,28.098162,27.818695823995874,0.07164357,-3.953081254950913,0.044178613,1.0347192
2489892287811803520,34.778265924303774,0.13173209,-3.912671440956487,0.12525865,1.596427792535663,0.15299308,19.296148,2.9213514474999833,0.21313533,-19.073726068236297,0.13970947,0.9244871
2489892360826763008,34.82174667975535,0.05154863,-3.897141065490839,0.044032536,0.909622346874417,0.06111483,5.811369,-5.118976791427678,0.08327235,2.7510158293393903,0.05134479,1.0331454
2489899851249762816,35.21544717848976,0.033063337,-3.9501563465919856,0.029272296,0.31403580371053946,0.037475865,24.449705,21.950676334115137,0.045975227,-10.768281059870743,0.035008382,0.966657
2489900297926340096,35.13488045448198,0.013499037,-3.9724894799599895,0.011268531,2.938935897052548,0.015410429,21.397444,-10.557185549960343,0.019041352,-18.611728528423775,0.013948861,0.99448866
2489900504084770432,35.068913598909276,0.076426186,-3.9571238544470564,0.06064499,0.5747712934647483,0.08104717,4.8863654,2.254540042304871,0.11348162,-4.3351604602769545,0.07656396,0.9634549
2489900538444508544,35.084401515522075,0.058947798,-3.9517572614368914,0.047259524,10.343283663020646,0.062135685,57.8611,-28.369963792133305,0.08315171,-50.42868295940163,0.05890067,1.036253
2489900740307835776,35.16586411609244,0.09181078,-3.9352544658215125,0.07826034,0.6023301676105173,0.10317038,29.995596,26.16300732516636,0.12788385,-14.670813954890688,0.09479409,0.9270428
2489905898563714560,35.25711658482451,0.02730943,-3.9094023216330998,0.02471447,3.344488242490622,0.031307895,32.90132,26.264296936549126,0.037086412,-19.81625044186608,0.029539613,1.2192855
2489906512743573376,35.27648618020361,0.024142016,-3.881934284138348,0.019967854,1.5106706216833337,0.026867436,5.8621144,-5.319325623878074,0.030541936,-2.463566489177747,0.024148995,1.0201141
2489906757557174400,35.20248263957371,0.0217959,-3.91694744890923,0.01875126,1.270042939254389,0.024447601,7.936828,1.022864635439495,0.030109765,-7.8706407852025935,0.023579152,1.0385584
2489906959420492288,35.21254315470123,0.15464665,-3.8761080080723094,0.14601018,3.3661002364685686,0.17620517,35.91277,28.709099653863227,0.19995393,-21.57578958047374,0.16877618,0.90401506
2489907199938340608,35.21477940794172,0.017040214,-3.8646168134976375,0.013498691,1.2972725969169072,0.01830752,7.5165863,2.893390091785853,0.02004472,-6.937389037734602,0.016453141,1.0944299
2489907749694481408,35.25692735253234,0.09126526,-3.8314486106670853,0.07671463,0.9646050319914007,0.10712763,35.999638,33.061814330461274,0.10099973,-14.243953367743686,0.09519856,1.4966011
2489907818413960960,35.24598701507357,0.1042634,-3.811601302128754,0.087859236,1.2740467384620096,0.12039407,7.664553,5.964742154754386,0.11618656,-4.8132348371345826,0.10870946,1.130427
2489908269385660416,35.33639028295301,0.04695706,-3.8334435631979664,0.04277181,1.3559145850584309,0.054631464,9.488423,-3.7056791768918513,0.053707995,-8.73487984646944,0.055684354,0.97012454
2489908746126897152,35.337083323653594,0.10432426,-3.8091035079956765,0.09607911,6.164944827729848,0.11965124,19.219252,-18.54639539803663,0.1145604,5.040918168794812,0.11720665,1.0007625
2489908784781735040,35.35654112226334,0.06397861,-3.799414291506362,0.05803074,5.1268225623593455,0.07271346,54.241222,45.07755111191889,0.06816364,-30.168269253277202,0.066819556,1.1217307
2489909055364540544,35.287647218819096,0.22864766,-3.8245434722278193,0.21083975,1.6960229147594372,0.2582523,47.18521,42.45717554730283,0.24447297,-20.587190291393163,0.24363826,1.0813679
2489909261523069568,35.277103420537905,0.3879142,-3.8046469884554392,0.35496232,4.024176168157744,0.43846723,74.85059,70.77001909417133,0.44483718,24.376539635747385,0.42345202,0.98842514
2489909433321761536,35.275445779753824,0.5705496,-3.79412221051346,0.5062419,5.82345962178832,0.62258416,30.680605,30.02915891306293,0.69698006,6.288806631663816,0.66666985,0.9184
2489909609415455744,35.326707215241925,0.065665185,-3.7776050087557134,0.055481758,0.8446326869323402,0.07246347,12.59149,12.030389006143682,0.07781416,3.7169004846523577,0.06536453,1.1057755
2489909643775193472,35.359315630457324,0.051337063,-3.77603543385303,0.04653828,2.7443877406121464,0.060620006,32.95275,29.369505999512608,0.05620317,-14.943754634317715,0.061499786,0.95690805
2489909845638529152,35.29990701654036,0.12615092,-3.7635151189449125,0.1067496,1.9809075571477595,0.14628588,29.199455,29.106863808545228,0.14819436,-2.323491773303097,0.12628323,1.6053324
2489910017437223040,35.33129069008204,0.21108468,-3.746386012049229,0.16357607,3.2672525380678943,0.25079066,10.877988,-10.814112877280973,0.19676194,-1.1771112807431632,0.18907095,0.99296117
2489910223598747136,35.003612745779385,0.32430956,-3.993848963275335,0.27506503,1.9066982745619305,0.36524528,10.478085,6.813489214060294,0.58157796,-7.9603152440098235,0.3665883,1.0013286
2489910502768636160,34.99377914240992,0.026867054,-3.975277824644095,0.021740997,0.7070841340659257,0.028748741,13.586159,11.950603728974446,0.04303072,-6.462721958913696,0.027819451,1.0013453
2489910979509468800,35.003006180623466,0.124763355,-3.9566231973015884,0.10126164,3.366060631523659,0.13478738,38.89645,8.486218727775245,0.22344744,-37.95942412395557,0.1430388,1.0061659
2489911327402356864,34.96449202141177,0.019758688,-3.9546524595288335,0.014870312,2.997489411692093,0.020035166,24.912792,24.80614586808914,0.029855814,2.3026873997957615,0.018677076,1.0377918
2489911357466591360,34.94278770330956,0.28422603,-3.952930818994783,0.24253954,2.483948103533268,0.31897292,10.220368,-7.74958866720842,0.49592295,6.663317320793556,0.31290182,0.9664656
2489911499201049088,34.90984096622571,0.024992762,-3.9601421882643497,0.020974718,2.111401838503354,0.026665084,13.516192,13.301149481297282,0.038601924,-2.4014306428335788,0.024461998,0.9270741
2489911666704241024,34.92990329168218,0.040391255,-3.926956148676939,0.03500101,1.9535217966230791,0.044333905,7.6503043,4.481128220870388,0.06288402,-6.200535977068013,0.04141842,1.077296
2489912079021105664,34.96029186214146,0.033719484,-3.906842952848396,0.028224964,0.38423826014164875,0.037199616,23.180008,15.38695607033971,0.04918436,-17.336503882398176,0.034672048,0.9116517
2489912147740496000,34.99857257675078,0.018662209,-3.9036558229437675,0.015371982,1.1395043844814663,0.020539608,10.5611315,-9.809111994758181,0.02784035,-3.9139268909657847,0.019140057,1.0522935
2489912182100320512,34.96782054972569,0.3164097,-3.9074434050672258,0.30416667,2.7392853169393625,0.3815752,6.1991835,5.790715638277836,0.53076255,2.213026416452039,0.42893854,1.0815934
2489912220755553024,34.990470796483514,0.038309023,-3.8914241431458056,0.031263847,1.786269746620623,0.04228926,18.924305,3.3888682761070985,0.05807843,-18.61840191810315,0.03898845,1.0084233
2489912422618487296,35.101738921709114,0.19638684,-3.9119990746928535,0.16383006,1.4093071436852949,0.21276754,23.131392,-15.067864239200699,0.288732,-17.550518892822,0.19580323,1.0107583
2489912839230843392,35.12472435260278,0.029603872,-3.908700432656381,0.024071574,2.561737023494374,0.031487808,20.461735,-1.677238957237682,0.041993067,-20.39287801724145,0.02974898,0.92020875
2489913182828226688,35.094146258481274,0.0511616,-3.8677354091316145,0.04326241,0.9540940234323169,0.055449575,12.84072,2.264193509847666,0.07010538,-12.639522471355171,0.05581465,1.026061
2489913693928722432,34.98721240315036,0.01509756,-3.886025709273235,0.012561652,1.8795655351394647,0.016383298,17.337755,16.465293895715167,0.022185232,-5.430640197535334,0.015350679,1.0037317
2489913835663255808,35.01742090498166,0.024943225,-3.8622856772523493,0.02139808,1.9045142068143608,0.027627513,20.927975,15.792076015016917,0.035617154,-13.732824426346776,0.026973896,1.037781
2489914385419069056,35.05583750573102,0.025295043,-3.8255103606287633,0.019765615,0.7721382880154565,0.0263411,8.235379,-1.3225739076917433,0.034554534,-8.12848536316361,0.02497055,1.0325243
2489914484202785280,34.91034198360127,0.11754684,-3.9354508975252354,0.09920277,1.633550198550681,0.12929067,17.581787,11.721326115253827,0.18748643,-13.104569886384036,0.11918171,0.98857147
2489915205757301504,34.95420547168415,0.08451714,-3.880131793101198,0.07100583,0.6760599102895479,0.097546436,6.196449,0.23318245210246757,0.15325586,-6.1920597011220835,0.09084544,1.0412492
2489915381851483392,34.908972954363506,0.21740845,-3.87108635898611,0.21996436,2.444230422330341,0.29072425,39.02662,29.300451637710335,0.3537987,-25.77907285249881,0.2556996,0.9381218
2489915789872854784,34.865355390392104,0.21044752,-3.8682681478593883,0.20170459,2.421212100227191,0.2474114,23.535814,-23.08684556036117,0.33225802,4.575164739424433,0.26435608,0.98879516
2489916034686498432,34.837651874633096,0.035790898,-3.8590279216138805,0.032335408,0.46322492003323684,0.041810475,2.358399,2.3444718690394994,0.05467299,0.25592354958153685,0.035948142,1.0678954
2489916202189715968,34.89255045290582,0.55550486,-3.8597059117561807,0.48811975,7.085118903626873,0.6195749,12.2965555,-6.139050135096981,0.8061757,-10.654451820877759,0.5550913,4.954575
2489916447003372160,34.8683964663929,0.014089984,-3.846761793325033,0.013100012,3.253898936727561,0.015659118,5.656519,4.8102138250949,0.02133516,2.9762472562907436,0.016059268,0.9773509
2489916481363097088,34.86921105239049,0.018185895,-3.8331192380241084,0.015323356,1.4536085996913797,0.020053156,15.211586,5.019248478431836,0.030555388,-14.359648165414848,0.017416457,1.0114232
2489917164262397056,34.98055031536524,0.10794062,-3.8130835628250925,0.09881258,1.4190486722431999,0.12454176,20.919247,20.88314134273323,0.14576368,1.2285229646149198,0.115542874,0.9100806
2489917679658476928,35.0093157402433,0.1500393,-3.7878375203422703,0.14497592,1.6279828776666703,0.1772148,11.602114,9.101536995878591,0.20481311,-7.195211761705421,0.16675982,1.0401466
2489917958831859456,34.95277289792007,0.04314312,-3.8048697341406528,0.041086826,0.3211622739416649,0.049807478,8.639241,0.3876182377665767,0.060739946,-8.630540969951493,0.051574953,0.98989725
2489918130630551552,34.916387391505815,0.074877545,-3.8029230907382843,0.06942657,1.222004325071084,0.08857896,6.6779213,5.027023113654357,0.100606926,4.395869597553256,0.08467004,1.0386254
2489918366853244032,34.97721922875997,0.15037535,-3.788269843408208,0.15810865,1.0312492599126695,0.18639188,10.211661,10.007619349898675,0.21186626,2.0311549772369366,0.19051161,0.98912984
2489918508587672704,34.99115330257695,0.0800306,-3.76485847092835,0.080073126,0.5587728311175568,0.092651986,22.691406,21.569559259024178,0.10704278,7.046563222440012,0.094120294,1.0116919
2489918886544795136,35.16823158194077,0.11767289,-3.856705600035362,0.10527437,1.6040939408605794,0.12928061,19.645308,19.525261944098084,0.16272376,2.168462443605819,0.13122585,1.9229681
2489919333221393792,35.14066417039372,0.033987675,-3.8316761371279853,0.02762813,10.175269874021398,0.035353605,17.74709,-16.667124661578658,0.04516165,-6.0964028346417924,0.03443131,1.1632137
2489919535084743680,35.21842349952832,0.09280866,-3.819565659260242,0.07973006,0.6780946090735416,0.10681377,8.151997,3.6819144686766627,0.10453489,-7.273139195180167,0.102381974,0.9873046
2489919882977206656,35.185644705376276,0.019205619,-3.7856183096056464,0.014843275,1.7419439531516587,0.022188133,8.860172,-2.4964952429472294,0.020496126,-8.501185935478537,0.018138198,0.9751675
2489919981760941568,35.12794581951474,0.21154654,-3.8263892969325775,0.18479563,1.3368734977672434,0.23488778,11.102549,11.034074719912848,0.27748638,-1.2311695651514103,0.22552599,1.0081582
2489920260934329600,35.09305681629948,0.047628537,-3.8083204150878243,0.041054,0.5937626256768185,0.0542209,9.133751,8.787057071563279,0.06577776,-2.4925956310054134,0.052086852,1.0219164
2489920290998588672,35.0778198059262,0.074345596,-3.812245193065618,0.067501746,0.5687333381386105,0.09548876,5.413524,4.400013820247208,0.10530137,-3.153747067850057,0.086844295,0.99015695
2489920600236240512,35.15775941321739,0.08636766,-3.7796799738776077,0.07094046,0.81061335173419,0.09850227,7.1705213,-1.9062735260292896,0.09664183,-6.912488301616257,0.08584125,0.9983541
2489920634595978752,35.18695745976214,0.124371834,-3.7803833685400225,0.103669345,2.9248728770390837,0.13749658,30.023302,18.345086811504082,0.13724607,-23.766708059663213,0.12409138,1.0490675
2489920909475756416,35.152625561916466,0.56681496,-3.760305297311084,0.5246328,4.3177985892284765,0.61622936,92.14272,-44.1339888132618,0.6593295,-80.88555403221197,0.66927826,1.138767
2489921081272972928,35.25924653675459,0.22467138,-3.7883785556571103,0.19132748,1.7457014142052827,0.26001957,12.223329,-10.742104054431561,0.23625511,-5.832405704650851,0.23218818,1.0444896
2489921321790745472,35.21743247399576,0.088612504,-3.783842834909627,0.07281144,1.7197894634345239,0.10721611,13.622673,8.049127387610792,0.095246986,10.990394515741839,0.08661854,1.0637983
2489921326086217856,35.220649319640714,0.026935585,-3.7747503340984543,0.022191025,0.3528531443051152,0.031619262,21.191612,6.549215621267827,0.029941712,-20.154210540815917,0.028116263,0.9724966
2489921326086217984,35.21999232650897,0.028140629,-3.782683908820167,0.024776379,0.7937606680742756,0.035752043,12.17481,12.130810003954231,0.03243004,-1.0341411879421565,0.03187629,0.96267986
2489921527949180032,35.23814940281909,0.09901747,-3.7482085552167956,0.08805336,1.713901001775257,0.11376733,27.318954,6.050189691060317,0.11361042,-26.64057950676496,0.11212599,1.006546
2489921665388529152,35.2753655966113,0.12470776,-3.752127685623658,0.107117176,1.9475048767289584,0.1418493,28.267971,-3.210826159353667,0.14485212,-28.08502796069802,0.1325389,1.0180299
2489921669683622784,35.28031524931676,0.058516685,-3.75061925624285,0.050936826,0.5122797153150216,0.06844105,6.333813,0.5330417915479394,0.06505041,-6.311343531852549,0.062737666,1.0341067
2489921699748268544,35.28141542857222,0.039353177,-3.74180085635437,0.033387247,0.49598545963627133,0.04577297,7.3254967,4.907435855542263,0.04377655,-5.438747546892343,0.040386103,1.0414977
2489922597396536192,35.21970427631963,0.14875804,-3.7150946588671068,0.11718512,2.500911115594367,0.16280983,43.7528,34.19354013664325,0.17136768,-27.296688721828346,0.1363464,4.662002
2489922867978983168,35.27200967900292,0.14259575,-3.700059750276084,0.10491848,2.4526444031728665,0.1648279,21.269287,14.77152925013957,0.13184714,-15.303087455755012,0.12488329,1.0342605
2489922906634180992,35.25152147572497,0.14621715,-3.6991889194621645,0.12203057,2.3221564398424923,0.16998172,11.088404,-6.117554125522019,0.15468828,9.248147338308673,0.1470792,1.0675458
2489923005417937664,35.22564706594539,0.18709609,-3.6931440492285605,0.15766764,2.9167800207460255,0.21863216,16.497385,-16.438156111911688,0.19628562,1.3966935538765184,0.19159819,0.9941902
2489923009713396224,35.22540456542256,0.03341137,-3.6967533463894755,0.026175074,1.1501178515909787,0.03748373,24.21453,23.90360945999423,0.036639117,-3.8679405915750107,0.031661224,1.064488
2489923039777676288,35.21301185639239,0.14246997,-3.690819143439154,0.11970388,0.828496683215825,0.16039972,4.641599,1.7856325596395461,0.1598899,4.284385524020198,0.14410232,0.9630866
2489923044073134848,35.207761139113266,0.10801906,-3.6952222591942543,0.08834539,0.8246563653062842,0.12050948,27.368681,26.917587530420782,0.1274968,4.948552293888705,0.10707228,0.96076804
2489923383375048704,35.09923405743376,0.048462085,-3.7790443463815855,0.04162215,1.5216728651713474,0.055094622,12.880203,-8.831585834468841,0.066422425,9.375645080482487,0.054220267,1.0537852
2489923387669906944,35.09914262894952,0.23732425,-3.779424281745982,0.17758791,1.6552353147802854,0.2565998,13.369236,-9.65670514595024,0.34162593,9.245783523154365,0.20926943,1.0657024
2489923520814002432,35.049480365380504,0.4867519,-3.77718814894229,0.4911085,3.4882803718622064,0.58239174,9.454779,-6.685143514767252,0.6780764,6.68593268447007,0.6748452,1.020857
2489923795691808000,35.116415422820175,0.013515084,-3.757084330620688,0.011362228,0.7173562386007667,0.015697446,18.53156,17.09872733435497,0.01569984,-7.145085698057153,0.015102614,0.99622333
2489924036210083584,35.13020209031133,0.08852699,-3.728718417796867,0.074009985,2.082947957002676,0.10435255,34.28419,33.60461810542512,0.09742749,-6.792312158571974,0.0884517,1.178454
2489924208008776448,35.118661614773366,0.074256085,-3.7220072731299494,0.062022924,1.5318078751672977,0.087324865,1.992524,1.833709945180331,0.087028444,-0.7795254355010868,0.07828765,1.4310929
2489924689045111040,34.99411776999081,0.042687476,-3.7387237239546205,0.039066795,0.8551884836453696,0.053073626,14.5618725,14.536256069427942,0.05308362,0.8633636871502497,0.046804715,0.94132113
2489924727700316800,34.99590901466803,0.013316366,-3.725520628419203,0.0124885,1.6045876699599286,0.015788445,11.445995,10.175634786422707,0.016220845,5.2409218784759375,0.015434058,1.0362973
2489924757764589824,35.01955761305702,0.24844365,-3.724131619108928,0.2253673,1.5777137393987613,0.2971674,26.13174,20.61892753866377,0.27908337,-16.053900035641373,0.25605264,1.0495179
2489925105657437824,35.074611633144805,0.080066025,-3.6986307302914536,0.06925955,2.000392152202781,0.0939009,8.396781,-5.982985575509741,0.089321315,-5.891503229149373,0.08470555,0.9494334
2489925243096391552,35.03529484641392,0.02158421,-3.6992937027334896,0.019873898,1.8027882941044235,0.025398742,10.5967865,0.34989563103203214,0.023458384,-10.591007977361572,0.022476682,0.9470787
2489925243096391680,35.0321116270823,0.021302048,-3.7012234706386,0.01807838,1.0698447916742972,0.025494568,88.2981,82.87576866757932,0.02134365,-30.465745640229212,0.020338457,1.0499909
2489925273160670464,35.04551566318143,0.07693332,-3.690959403519594,0.074384265,0.5180159411843951,0.09293057,11.186445,-3.4619787921769234,0.08921023,-10.637257885507188,0.08694241,1.0136048
2489925346175605888,35.07553545473462,0.020616088,-3.6712861598020297,0.017293181,1.551441685282583,0.023397297,21.965576,19.975210520599717,0.023117853,-9.136604021347136,0.020584976,1.3108752
2489925380535344512,35.06230413370248,0.046015907,-3.676314261841289,0.037121832,0.5122980142218112,0.052923787,7.5512714,0.9053182080716946,0.052289374,-7.49680601629494,0.045524772,0.99113256
2489925616758054528,35.188646201571025,0.23646492,-3.687238768889946,0.20348005,1.6144334193659875,0.26086965,7.211475,5.417964753820728,0.2790971,-4.759309924350775,0.24542736,1.0362756
2489925999010634368,35.197865141603124,0.045021493,-3.68738336652262,0.036132988,0.34416787098296936,0.05044678,3.2783828,2.5674564236553143,0.05063266,-2.0386176348011134,0.04420168,1.0708126
2489926102089848960,35.2022235512993,0.0872386,-3.670276710452374,0.06605197,7.351497651343763,0.09617188,104.78548,104.78536615561342,0.0895499,0.15243263201200857,0.07747826,0.88751084
2489926200873611904,35.21727676395558,0.14630567,-3.655668553912006,0.11302572,1.89258197222891,0.16557175,15.790374,9.029346620943155,0.14900212,-12.954026491857825,0.13526261,1.0418923
2489927201601476480,35.15129124145523,0.04660046,-3.635074780922912,0.03672722,19.499627069967495,0.058000956,127.42877,125.6467475512728,0.048977062,-21.236465705501825,0.04970825,1.0973985
2489927235961214720,35.173684900147116,0.08530134,-3.6264045398295237,0.06283265,1.4506730178319651,0.09721714,19.409119,18.622350294238224,0.08407423,5.470099941052128,0.07537453,1.1976633
