source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,ruwe
4419362231931617792,227.6043525975588,0.06394984,0.13713370258265872,0.054180246,0.4843154073850326,0.07490606,39.54413,-36.009998376970096,0.07532723,-16.34068809080033,0.060859226,0.9624709
4419362335010832640,227.61675258157007,0.08543656,0.14142004643503853,0.08448354,2.0003829215267173,0.11252463,27.003298,-22.041941893737054,0.10683594,-15.599067722491291,0.10054633,1.031409
4419362609888740352,227.60108980777642,0.033725053,0.1579804218766651,0.029890278,0.5491820761460846,0.039532002,9.87084,-9.421894181841669,0.041132204,-2.94302396332399,0.035228454,1.1843477
4419362433794673408,227.61224488384838,0.10862116,0.16233693973270683,0.10938591,1.2911351949255365,0.1427559,21.314888,-10.059862538131831,0.14070679,-18.791583812047467,0.13009463,0.9904167
4419362541168582656,227.5673755547143,0.15569574,0.15071204781785932,0.12259117,2.3429959979525172,0.16751015,45.81829,18.789007051585763,0.1786936,-41.78862113689485,0.15003861,0.9803491
4419362541169264128,227.5585946593949,0.045967735,0.1449571638502575,0.040041316,0.6162727900126833,0.052887663,5.3966866,-1.398552845993206,0.056184683,-5.212319740633627,0.04757373,1.0185434
4419362541169279744,227.56760778029874,0.094140865,0.15111140176290977,0.08097162,2.2808314326215564,0.10282523,45.534924,19.05597191770509,0.11393406,-41.3557645339717,0.09899194,0.924113
4419362575529002368,227.57628903890335,0.04698282,0.1550606171873896,0.041157644,1.4339285799508361,0.054620977,5.827548,-2.531781494461507,0.05731116,5.2488473237654185,0.04860499,1.462664
4419360750167608960,227.4199619696088,0.25774667,0.07492280936976967,0.20275454,2.228327741544289,0.2757465,18.249332,-14.882973527471496,0.33804035,-10.561024684885611,0.27579695,1.0905781
4419360823182378112,227.39090099200382,0.025406146,0.06110611330465916,0.020682666,30.838477879043065,0.028098153,91.571785,89.24834380341701,0.03258714,-20.496939803140677,0.029709022,1.1339499
4419360926261561600,227.40030900476864,0.06357435,0.08482780045096859,0.05913238,1.2339338385337355,0.080333136,17.619776,-17.085991510535763,0.08460654,-4.304117198645111,0.07789538,1.1501033
4419362708672614144,227.59090499054042,0.12248552,0.1705070239524078,0.103645645,1.371256342538793,0.135634,17.616032,-16.813404124985393,0.15399094,-5.256807032297677,0.12544763,0.93384314
4419363056565340672,227.49456329561227,0.018045528,0.14406297862995301,0.015884098,0.8553281806080435,0.02064265,12.5249815,-12.053294675566356,0.02243035,3.4048864606990237,0.01896076,1.1399661
4419363086629877888,227.46837623732415,0.080587015,0.14702169063683002,0.06185494,0.43527742459545965,0.081431285,9.462033,-9.363363491852802,0.10395005,-1.3628994051601366,0.07997079,0.9872568
4419363090925080320,227.47135075907968,0.060821135,0.15092556656093978,0.047095515,1.6131386960943295,0.06228754,19.43656,-19.364117363049438,0.077240326,-1.6765515569118328,0.060021922,1.0010295
4419363400162724480,227.550412771978,0.017808931,0.1838009498771507,0.01600618,3.7775114035713933,0.020989416,8.870657,-8.870353790493194,0.021613935,0.07332143064928148,0.018973332,1.0331928
4419363498946597888,227.55987030734,0.044654787,0.18493587624775493,0.039090063,3.3591074273846164,0.05082281,88.3843,-79.00323963771768,0.055499133,-39.62667157590519,0.047206756,1.0092119
4419363537601876352,227.56918935688105,0.09877631,0.2007661463828053,0.084973425,0.8081364289363842,0.11123395,7.235261,-7.235256359784547,0.12376378,0.008196874191547316,0.10231261,0.98148364
4419363567666073984,227.53146715338778,0.15419227,0.17847281250837466,0.12925567,4.671493298877847,0.16781133,96.799576,-85.30662918857932,0.18917851,45.748624674456664,0.15652603,1.0796824
4419363675040632832,227.53092457061206,0.04816883,0.19443282627499955,0.038316827,0.7871043931691258,0.0495299,26.492767,-20.35508540194484,0.06444414,-16.956921475839778,0.048470244,1.0384305
4419363705105029120,227.54526328966458,0.07417624,0.19806996010880037,0.068435684,2.7045091837496438,0.09566545,22.902596,-21.488064346313596,0.09318765,-7.92413955799838,0.07186568,1.1183996
4419363739464768256,227.56057950910727,0.11426445,0.2062463600005926,0.09039135,4.8188801273845785,0.1246564,36.256207,-33.51927337746154,0.14152704,13.819220278166997,0.10861061,1.2126861
4419363778119848192,227.54560952569958,0.06309842,0.2064810666415391,0.055123694,1.7538848389429418,0.07144746,28.2486,-18.117184469026533,0.07911263,-21.67374048971785,0.06802611,1.050025
4419363911263553664,227.36182022737876,0.30069163,0.09235980695332949,0.23349568,1.6409924185057225,0.32610372,11.160613,10.018548492682882,0.40917957,-4.918127099249996,0.34335083,1.0401863
4419364426659661952,227.43215850947982,0.14311303,0.1304804938849552,0.10872922,2.5390789689112196,0.1474286,29.929012,-27.18418336945505,0.19574481,12.520622688810082,0.15027103,1.0183566
4419364671473046016,227.39717928643196,0.065011546,0.13257674192383864,0.05323618,2.64729074495293,0.0713869,3.8541958,3.8530381641454725,0.08051214,0.09445599303230101,0.07038759,1.012431
4419364843271738496,227.42149425631936,0.031981707,0.16709270466237017,0.02639985,2.699895186015666,0.03622461,37.244987,-33.22225657239845,0.038050085,-16.83658752176474,0.034603104,1.005676
4419364873336292224,227.40180412536628,0.09731795,0.172943674649731,0.07873889,0.7746311507049731,0.1087511,16.680063,-15.304657884507979,0.11823734,6.632645355794956,0.104403675,0.88198996
4419365083789907328,227.35447624665676,0.015936,0.13463656235061794,0.013468761,5.182427780627411,0.01816638,15.475123,13.251942696031378,0.018956913,-7.991587329333604,0.016935352,1.3434505
4419365388732363264,227.34321234786222,0.085485145,0.1667153521708297,0.071708836,0.4831588461694986,0.096390314,2.6809137,0.1491864549349971,0.10586429,2.6767595890700617,0.090910874,1.0204788
4419365663610283008,227.4042835376756,0.28552485,0.18424267257619326,0.23054035,2.607800131843199,0.3062748,11.18806,-8.72475396069789,0.3559536,7.003667512210452,0.30687428,1.0250447
4419365908423629696,227.37231952958973,0.015861388,0.19448267054879284,0.013387539,2.159823590891242,0.017454304,29.251827,-4.121170265485273,0.01988796,-28.960064521082014,0.017583653,1.025026
4419366144646618240,227.4588500760747,0.07576974,0.1811528106976685,0.06309694,0.5305400901919223,0.08089042,22.360197,9.660137059831989,0.0943963,-20.1658157045772,0.081307635,0.9938377
4419366217661272704,227.49519483615887,0.0352991,0.19130147314007598,0.03512815,15.057602539686656,0.045239422,66.12438,-43.86719638549884,0.04478812,-49.47830541311992,0.04104282,1.0085317
