source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,ruwe
2642126720720017664,359.6279219009645,0.039582197,0.02371227723137408,0.027736284,5.555393677945061,0.045108993,5.2733355,3.837208082441267,0.066702425,-3.6171672757013384,0.027687084,1.0212454
2642126755079755904,359.64504885966664,0.0192302,0.03600031327794727,0.01410523,1.811680306606049,0.02381101,13.368622,10.95538395824815,0.031585366,-7.661567066073906,0.014464975,0.9850652
2642126823798217600,359.6327290186619,0.020910565,0.04267840801489177,0.015025846,0.7818259172401494,0.02538798,1.7727115,0.20601695891414684,0.033263568,-1.760699669095215,0.015438518,1.0461825
2642126823799232128,359.6308509950063,0.05014004,0.04598127217973319,0.039301705,6.851179749511892,0.0652538,64.29116,61.655898945252275,0.08313256,18.218214393704585,0.04103783,2.0799797
2642126892518709120,359.6650457143161,0.15924887,0.051844115894589045,0.09917011,1.8525079155347681,0.15978914,6.3808637,-5.251529795629713,0.31556815,-3.624480327142057,0.09982921,1.0106454
2642126926878447104,359.6413176681854,0.029907404,0.05556596185449768,0.018754087,1.062822742513544,0.02849175,18.383478,14.84781833429517,0.05607904,-10.83948972217185,0.01798995,0.93292266
2642127025661696256,359.7061553300764,0.18698765,0.05150475493519975,0.12442147,1.8195706133139802,0.19436109,31.750809,27.948455942747763,0.35280603,-15.066443166375006,0.11764154,1.0799868
2642127060021435520,359.67628378005185,0.045356736,0.05133622838540907,0.028220046,1.1382170566453742,0.04375958,11.863373,11.650866768802357,0.08778452,-2.2353805653664507,0.027867047,1.0135128
2642127373555045120,359.666027316282,0.07446241,0.08891662840941877,0.04922441,0.4420996075486593,0.07521957,4.853743,-2.3445937131454735,0.1430378,-4.249906180554195,0.048881795,0.87954444
2642127442274522368,359.7097901343777,0.08558216,0.0934998449495747,0.055711146,8.412502568254641,0.08865808,194.75368,175.58465382545128,0.16708912,-84.25572417952273,0.05473689,1.0067387
2642127614073213184,359.5937941523087,0.1324598,0.06454894287666564,0.086297065,0.8161648105234234,0.14032286,31.269411,-16.90015430688123,0.22899294,-26.308950594164465,0.08660537,0.9994279
