# ra, dec, jPetroMag, jPetroMagErr, hPetroMag, hPetroMagErr, kPetroMag, kPetroMagErr
4.484054666949860746e+01,5.557399349421137530e-02,1.738659667968750000e+01,5.390070751309394836e-02,1.685450172424316406e+01,8.355042338371276855e-02,1.666973304748535156e+01,1.445661932229995728e-01,1.013162234762448577e+01
4.484991515793306149e+01,5.224328425504708162e-02,1.858013343811035156e+01,1.667818725109100342e-01,1.809968185424804688e+01,3.394220769405364990e-01,1.731532669067382812e+01,2.917547225952148438e-01,9.535058026636869855e+00
4.499499580081302241e+01,3.818061252677912992e-02,1.669404983520507812e+01,3.245696425437927246e-02,1.626564788818359375e+01,4.893516004085540771e-02,1.604583549499511719e+01,8.348824828863143921e-02,2.310429449989462203e+00
4.494385760260419005e+01,2.229206037376089272e-02,1.511859893798828125e+01,7.601916790008544922e-03,1.455310249328613281e+01,1.045518182218074799e-02,1.431427097320556641e+01,1.672421023249626160e-02,3.624369806634277769e+00
4.490582461062373199e+01,1.490725459629103737e-02,1.946355247497558594e+01,3.204442262649536133e-01,1.817555046081542969e+01,2.844512164592742920e-01,-9.999994880000000000e+08,-9.999994880000000000e+08,5.720876507416993384e+00
4.498558399117541740e+01,-1.880935585970795049e-02,1.841034889221191406e+01,1.224116310477256775e-01,1.820487594604492188e+01,3.133265972137451172e-01,-9.999994880000000000e+08,-9.999994880000000000e+08,1.421902744549714992e+00
4.492732773959028947e+01,-3.473893779979932150e-02,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,4.832906176134510012e+00
4.492776345114341296e+01,-6.357859998725061412e-02,1.907982444763183594e+01,2.605662643909454346e-01,1.820305633544921875e+01,2.871765494346618652e-01,1.737289428710937500e+01,2.903814911842346191e-01,5.773844370180353458e+00
4.479463617479780169e+01,-7.674150126495250801e-02,1.873617553710937500e+01,1.521955132484436035e-01,1.806280136108398438e+01,2.907829880714416504e-01,1.756333732604980469e+01,4.168221950531005859e-01,1.315403818580594475e+01
4.481380467943255042e+01,-9.841541087001068333e-02,1.707857894897460938e+01,4.540723562240600586e-02,1.645493698120117188e+01,5.625636875629425049e-02,1.611215591430664062e+01,8.414918184280395508e-02,1.263627013990210379e+01
4.483420778393486472e+01,-1.032900072122866914e-01,1.881214904785156250e+01,2.140107154846191406e-01,1.770897674560546875e+01,2.092739194631576538e-01,1.694957923889160156e+01,1.702736169099807739e-01,1.172011420571823059e+01
4.486110064897436445e+01,-1.354734947218841912e-01,1.411343955993652344e+01,3.358762478455901146e-03,1.356212234497070312e+01,4.406038671731948853e-03,1.332972526550292969e+01,6.792552303522825241e-03,1.164155580332303863e+01
4.478582744389165526e+01,8.014397888494952105e-02,1.800320816040039062e+01,5.394509062170982361e-02,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,1.372058600832363418e+01
4.476135796588161497e+01,-3.752604537560600556e-02,1.829564476013183594e+01,1.232105046510696411e-01,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,1.449446718549811308e+01
4.478762297503769929e+01,-3.098773378833606651e-02,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,1.287754827309911043e+01
4.496554407750223703e+01,-2.715288200235059513e-02,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,1.689831924438476562e+01,2.140426933765411377e-01,2.632140236837375191e+00
4.482922452834007032e+01,-1.105080770603464740e-01,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,1.725650215148925781e+01,2.387954443693161011e-01,1.220469329189223018e+01
4.519388148907209768e+01,-2.971032865812403556e-02,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,1.176868027574333375e+01
4.515057639700663117e+01,2.152059422557553794e-02,2.007613945007324219e+01,2.361767739057540894e-01,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,9.126389783604908601e+00
4.514869055464215819e+01,7.370789405787016302e-02,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,9.957419392781599043e+00
4.512939873949454750e+01,-3.268143513922183024e-02,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,8.007720612673749017e+00
4.512229657752400414e+01,-1.027983260280435907e-01,1.692326736450195312e+01,3.440582007169723511e-02,1.646152114868164062e+01,4.937538504600524902e-02,1.635582733154296875e+01,7.146707177162170410e-02,9.585726763011901852e+00
4.511685673189331425e+01,-8.825703631172757135e-02,1.883756828308105469e+01,1.753741651773452759e-01,1.873346138000488281e+01,3.518719077110290527e-01,1.797093772888183594e+01,3.438247442245483398e-01,8.786423732605623371e+00
4.503693237927116400e+01,-9.413206128593329045e-03,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,-9.999994880000000000e+08,2.286786538685970704e+00
