ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflag,zinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3,SAM Flag
1.714121367957379e+17,213.6795171,0.006969999987632036,52.84766097,0.003280000062659383,21.153600833056057,0.03240800264291106,19.92896217744975,0.012837006647941842,18.946790481349236,0.006542010965936799,18.471714339967328,0.005820013261733838,18.285027356776943,0.01320400381991258,3600.0,5.25,-3.8,-34.710644,-35.721542,-36.595287,-36.865073,-37.264321,-37.534743,-37.866763,-37.442545,55.58859243771987,0.007657894106616242,1.3209329419140097,17.150043873723117,0.007657894106616242,16.335752289293154,0.007657894106616242,16.298685970403902,0.007657894106616242,1.6081225826813512e+18,213.67951217718732,0.2334816,52.847658894559196,0.23253128,0.9296322619376995,0.27442372,11.540327,-6.807214402470374,0.30078104,-9.318850929478991,0.31915012,1.0087749,436527104.0,52.0,75.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.7163213451807958e+17,213.45175209,0.003759999992325902,53.03238232,0.005260000005364418,20.909938379803055,0.022986009270905657,19.79878555901608,0.009423012636768873,18.608901328237135,0.003488025279265443,18.05311592334957,0.004664017097242209,17.854130645875625,0.008327006246570985,3600.0,5.25,-3.7,-34.370028,-35.353768,-36.408712,-36.78025,-37.127324,-37.440923,-37.784489,-37.399731,55.052990767256304,0.005368084195380924,2.0683024152206273,16.708262203259554,0.005368084195380924,15.882424618829589,0.005368084195380924,15.80589829994034,0.005368084195380924,1.608180994236689e+18,213.45175164872046,0.17522986,53.03237865591031,0.16511586,1.647772094611439,0.1949688,10.082988,-4.180522918428007,0.22576256,-9.175503959433843,0.22025393,0.99958605,503635968.0,60.0,86.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.7176213412895158e+17,213.41280938,0.004019999876618385,53.1340403,0.004629999864846468,19.23539274908537,0.00647205450613905,18.328653002583827,0.00349105932665751,17.89438792873451,0.0020290599716079913,17.837299620955154,0.003949021212471473,17.696409231405482,0.009861005728599907,4625.0,0.0,0.0,-36.581154,-37.434033,-37.74067,-37.869618,-38.019517,-38.117773,-38.177566,-37.745455,55.727426906552864,0.002615540262638592,0.22504723284296896,16.705848342556113,0.002615540262638592,16.16378375812615,0.002615540262638592,16.1346104392369,0.002615540262638592,1.6081828496625876e+18,213.41280578581848,0.09418756,53.13403900633697,0.091768846,0.6407398426831962,0.110888384,9.937052,-9.681998085471596,0.12001601,-2.2369427209311077,0.11570062,0.97725713,503635968.0,60.0,77.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,K0
1.7190213438728074e+17,213.43865469,0.003449999960139394,53.25002516,0.004269999917596579,17.814438840026718,0.0033591232217694443,16.57477203603421,0.0015961398830327247,15.982946203763916,0.000790161358072729,15.704107645671131,0.0012330683855567332,15.571920088438743,0.0018480315722885217,3800.0,5.25,-3.7,-35.397698,-36.404124,-37.058686,-37.228045,-37.514694,-37.683869,-38.007623,-37.567673,53.05028636278694,0.0008807134528929251,0.5037235897446605,14.462611798790189,0.0008807134528929251,13.656586214360225,0.0008807134528929251,13.635251895470981,0.0008807134528929251,1.6081880422797174e+18,213.43864422708322,0.032375686,53.250029528511575,0.032185785,1.5582102151440334,0.03808847,14.132452,-11.61055310298285,0.041845962,8.057372961100373,0.041226447,1.0014911,503635968.0,60.0,61.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.7178214050332714e+17,214.05036401,0.00482999999076128,53.15535538,0.012969999574124813,22.035603258311422,0.06374800216760648,20.853226027435245,0.027705999411865002,19.56532101938105,0.008145003594541025,18.98281976683902,0.009348007790979747,18.55843408503881,0.018268002729965514,3400.0,5.25,-3.9,-33.768109,-34.920906,-35.953811,-36.371386,-36.883879,-37.315431,-37.613851,-37.226192,55.57869903140111,0.014586125518078828,2.623758014737062,17.35946246740436,0.014586125518078828,16.578770882974396,0.014586125518078828,16.505145564085147,0.014586125518078828,1.608227620401561e+18,214.05037003619694,0.38695827,53.15534897609134,0.41117308,-0.23308151426717488,0.52099735,17.934258,3.569797521836227,0.50427043,-17.575385048013324,0.58022475,1.0086023,436527104.0,52.0,65.0,5.0,195035141.0,655360.0,196608.0,262144005.0,655488.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.718121375354721e+17,213.75350342,0.020919999107718468,53.1761514,0.051750000566244125,20.86138714737242,0.02414500183158855,20.51925015123686,0.01954100471304663,20.357190345076965,0.013486005974987064,20.463185099087365,0.028365001987475203,20.631292152549097,0.1261810068491342,6500.0,5.0,-2.5,-38.851247,-39.193718,-39.233318,-39.170777,-39.165214,-39.004883,-38.722826,-38.235356,59.68931577906454,0.026737931231126194,0.1214212654724235,19.780627215067792,0.026737931231126194,19.58041263063783,0.026737931231126194,19.606598311748577,0.026737931231126194,1.6082297850650888e+18,213.75352647150186,0.5034094,53.17617772332276,0.5354188,1.0226363806247027,0.6073084,9.488546,-4.662985812276848,0.68148696,-8.263720827343096,0.812744,1.0672345,436527104.0,52.0,64.0,10.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,195035141.0,524416.0,196608.0,K0
1.7184213715091507e+17,213.71506552,0.009879999794065952,53.2036323,0.010929999873042107,20.534041772976494,0.018609006131229903,20.17877035029444,0.01409700899717652,19.946900731872564,0.01198400775727214,19.892885509117914,0.016903004678302525,20.040294270162235,0.057472002701008496,5937.5,5.0,1.0,-38.239219,-38.563165,-38.693854,-38.722637,-38.722328,-38.651852,-38.503531,-38.04007,58.70681912688473,0.01308033619660356,0.09884623032106808,19.15116156288798,0.01308033619660356,18.817210978458014,0.01308033619660356,18.81938765956877,0.01308033619660356,1.608230609698821e+18,213.71506527878802,0.3470596,53.203630955946196,0.3416176,-0.7276229500293838,0.4089614,5.7766147,-4.879707611038887,0.482881,-3.091557592461964,0.47805175,0.98129827,436527104.0,52.0,67.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,195035141.0,524416.0,196608.0,K0
1.7166214045895942e+17,214.04584123,0.020800000056624413,53.05731318,0.01915000006556511,21.81625378135792,0.05099600181576473,20.76518183881996,0.02289600049987146,20.35840228020007,0.014924002989252344,20.227501347604175,0.0245530038590512,20.239811466789618,0.07868400275175927,4600.0,5.5,-3.0,-36.436823,-37.386367,-37.729997,-37.849741,-37.942366,-38.063717,-38.156737,-37.750416,58.150488942954354,0.020141069676507504,0.20376352351609203,19.182966378957605,0.020141069676507504,18.60767479452764,0.020141069676507504,18.55271147563839,0.020141069676507504,1.6082135715640463e+18,214.0458381061505,1.0627309,53.05731073272228,1.341951,-1.4774504535215551,1.5345664,9.98296,-5.410027012518068,1.5797361,-8.389940451717546,1.7839301,1.212551,436527104.0,52.0,68.0,5.0,195035141.0,655360.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,195035141.0,524416.0,196608.0,c1
1.7160213656820182e+17,213.65683053,0.011289999820291996,53.00094956,0.01269999984651804,20.589939104462683,0.01891600909219948,19.641975255696455,0.011369012507553908,19.161499430342655,0.005886016404897839,18.93130102913017,0.01078600714884614,18.83941260208941,0.026268001853238198,4187.5,3.0,0.5,-35.919123,-36.767881,-37.174594,-37.373682,-37.509927,-37.709335,-37.937748,-37.559131,56.38186688434428,0.007288513994137633,0.3451223247868474,17.768726320347522,0.007288513994137633,17.058041735917563,0.007288513994137633,16.975374417028313,0.007288513994137633,1.6081333029198264e+18,213.656832233398,0.21479104,53.00094749251886,0.22243045,0.46230076224753275,0.25569054,8.670015,4.517444375965909,0.2597055,-7.400125957968925,0.3177776,0.99420613,436527232.0,52.0,67.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,K0
1.7179213947420736e+17,213.94739643,0.002529999939724803,53.16391529,0.0015399999683722854,16.586543479974697,0.0012743510849380069,15.648730939442126,0.0007313267414804072,15.335978163682643,0.0005112605310713261,15.16849766835858,0.0007311163406615888,15.030407942260078,0.0011380519411314366,4687.5,0.0,-1.5,-36.66693,-37.543233,-37.812252,-37.928588,-38.117985,-38.189343,-38.176269,-37.753552,53.16782923874363,0.00041230523379718497,0.14883856374018456,14.074680674746876,0.00041230523379718497,13.605483090316916,0.00041230523379718497,13.566915771427668,0.00041230523379718497,1.608228208813271e+18,213.94739281271384,0.023228483,53.16392191680851,0.025191987,1.879439248254329,0.028257119,15.040876,-7.018932041907564,0.029035393,13.302726959308533,0.033285674,1.0713533,503635968.0,60.0,81.0,10.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,K0
