source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ruwe
2000881712516290816,334.8720438967445,0.2297008,50.96340920182396,0.21005064,0.5416489314586952,0.26917657,2.012244,1.6138935,-1.1374561702835453,0.2838528,-1.1449216873689487,0.25609764,1.0325713
2000881712516298624,334.883286942707,0.32398814,50.96345418204946,0.29343677,0.5704599213173153,0.37437516,1.5237653,2.88923,-0.8181575236158494,0.4236677,-2.7709687454002667,0.3650837,0.9996638
2000881712516582912,334.8795606522838,0.12863472,50.969499580027474,0.12952316,0.17369017990288568,0.1583127,1.0971336,5.479313,-4.265467127267306,0.1636605,-3.439282276495141,0.15626448,1.0625266
2000881712517233280,334.8822850255958,0.68122196,50.969689142756174,0.60861826,0.7331126068098291,0.7466095,0.9819224,7.720402,-6.003487083050091,0.90672415,-4.854147406307337,0.7899927,1.0248369
2000881712529786752,334.87451148129173,0.13325578,50.96840693539723,0.1295311,0.1111705927786231,0.16505305,0.6735446,5.06592,-3.7862888144184352,0.17161126,-3.365643982013902,0.1542885,1.0132161
2000881712529787264,334.86885417132413,0.025618602,50.965002109005205,0.026103592,1.4739266591544415,0.032354005,45.556232,5.167141,-0.7475137304048252,0.03222369,-5.112784638504559,0.0330069,0.9864198
2000881712529788160,334.8718946924533,0.21565816,50.96237319349254,0.22252221,0.19816970894687397,0.28001407,0.70771337,3.3881397,-3.0121777888139154,0.27795583,-1.5512176547754626,0.29599702,1.0201951
2000881712529878272,334.87840512492085,0.031703804,50.97069285501514,0.031032972,0.3052265268771379,0.038333356,7.9624267,3.4763606,-0.6506278513436762,0.03970423,-3.4149329152416694,0.03821678,1.0336734
2000881742583673344,334.89796730277556,0.28600705,50.968871806068954,0.25180846,0.6910678720006488,0.32921275,2.0991528,2.452724,-1.571741371067001,0.33939883,-1.8829454365943001,0.30207497,0.9939385
2000881742583680640,334.89517250207643,0.10055918,50.97307120949689,0.10107995,0.5956717892578854,0.121298395,4.910797,8.482228,8.29776367394928,0.12988868,1.7593509574119097,0.12152444,1.0262178
2000881742583684096,334.90895814653834,0.18360445,50.9757366019052,0.1827166,0.9647922443895466,0.22307901,4.32489,1.0901642,0.298277485432412,0.22952366,-1.0485650175874257,0.21703884,1.1157146
2000881742583686400,334.89313743218776,0.056115005,50.97746757370932,0.058158476,0.05967507914878679,0.069317,0.8609011,3.8733468,-2.9601473246857157,0.07093046,-2.4980680755799725,0.0729184,1.0110902
2000881742583687168,334.9048812449336,0.097952835,50.97794212214786,0.10479053,0.3879127755737295,0.121271886,3.1987033,4.587581,-2.386174310705868,0.12220305,-3.9181723939187068,0.12386807,0.9841131
2000881742583687680,334.9120515482105,0.12748325,50.978369223379026,0.14381781,1.1251263504821256,0.15945989,7.055858,10.150168,9.163389488277524,0.16226658,4.365571779480057,0.17133087,1.0237533
2000881742583689472,334.9012994127271,0.09405304,50.97926819296338,0.09823508,0.2715758932456062,0.1155812,2.3496547,4.624914,-4.015501072460644,0.11778989,-2.294685568870478,0.11671039,0.9732369
2000881742583691392,334.90299028433407,0.18674995,50.980980501857694,0.18710479,0.11278659306641528,0.22535983,0.5004734,2.152132,-1.6543442692912418,0.2318184,-1.3765238043740777,0.22613451,1.0164883
2000881742583693184,334.9009066208313,0.15637837,50.982951458456014,0.1524124,0.4029460433388528,0.19176047,2.1012988,1.2558764,-1.0929199394251101,0.20378567,-0.6186692481760014,0.18806458,1.0296422
2000881742583932160,334.90567785013496,0.15500025,50.97694290790482,0.1558473,0.4016005800627605,0.18780616,2.1383781,3.9207609,-2.1275372513451973,0.19536345,-3.2933190928681375,0.18332003,0.95111203
2000881742584109568,334.8911443377206,0.19119723,50.977600223399,0.18776086,1.1941090795647857,0.23174466,5.152693,7.6186147,6.5741838900236065,0.25170362,3.8501159851632742,0.24180003,1.1542125
2000881746876025472,334.90852968795366,0.11327037,50.98693086740871,0.12263454,0.8884089257361896,0.14330529,6.1994147,4.305446,-2.636202958513071,0.14339182,-3.404012478906966,0.14971593,1.0628979
2000881746876026624,334.9092310409619,0.38435662,50.98579978885334,0.393965,0.17243833489834565,0.48440105,0.35598257,2.321435,0.8021439790535183,0.4947013,-2.1784456248285755,0.49313542,0.98895293
2000881746876030592,334.89465718734175,0.32149023,50.973473820264616,0.29734462,0.12591980671998906,0.36789298,0.3422729,6.4812016,-4.739410204116942,0.4219001,-4.420855846590423,0.36271635,0.935841
2000881746876033024,334.90684487037066,0.22768591,50.97714532019994,0.22977759,1.0284753430592262,0.27433714,3.748947,2.4936812,-0.5391714361463968,0.28680733,-2.434695173396418,0.26886636,0.94405264
2000881746876037760,334.8946561060646,0.34399322,50.96796440254606,0.30242664,1.1921586047261212,0.38769066,3.0750253,13.646223,-10.634703130209342,0.40381554,-8.551169770947464,0.3533855,1.0125818
2000881746876041088,334.9014567404947,0.16920681,50.969081589976064,0.15138198,0.2438772421277841,0.20070583,1.2150979,6.3183403,-5.746832437502744,0.21187723,-2.6258986403861972,0.17800768,1.0162112
2000881746876321536,334.8988854011591,0.5915866,50.9715924949977,0.57401437,0.3337690065178849,0.71098715,0.4694445,1.7097774,-0.1976964618237142,0.67113084,-1.698309417147203,0.69387954,1.0282757
2000881746877269760,334.896916692223,1.0006316,50.96866600461356,1.0586877,0.1742944308821607,1.214469,0.14351493,2.8683949,-2.5596916164786228,1.111563,-1.2944759512359734,1.2955334,1.029946
2000881746889526912,334.90042636991274,0.07212092,50.97607819197322,0.07559908,0.13512138589259193,0.089543626,1.5090007,3.9270327,-2.567451059065826,0.08967357,-2.9714947733428776,0.090251364,1.0206634
2000881746889527296,334.89949862672773,0.019732272,50.972992528291215,0.020136504,0.5690917156590912,0.024815165,22.933224,1.839781,1.6261912039456863,0.025930282,-0.8604047885339321,0.024306731,0.9854524
2000881746889527424,334.89655731307937,0.029343462,50.97112222733181,0.029037446,0.587425130686965,0.03586904,16.37694,3.279157,1.1770296594924496,0.03618557,-3.0606325100198073,0.03463021,0.9606566
2000881746889528320,334.9016692497527,0.07309124,50.97074647410907,0.068878725,1.2184182230428708,0.08726044,13.963007,40.14247,-23.99219752285703,0.09231399,32.183730637336254,0.08225523,0.95753276
