ra,dec,jPetroMag,jPetroMagErr,hPetroMag,hPetroMagErr,kPetroMag,kPetroMagErr,distance
36.07477166894988,-4.661828972233615,-999999488.0,-999999488.0,-999999488.0,-999999488.0,19.0164794921875,0.1190837174654007,14.286767939786943
36.07079491021352,-4.6710261768250145,-999999488.0,-999999488.0,-999999488.0,-999999488.0,20.3942813873291,0.16379767656326294,14.838223606057566
36.069959456732306,-4.672519010614588,-999999488.0,-999999488.0,-999999488.0,-999999488.0,19.777435302734375,0.14881999790668488,14.936280968997501
36.07674704869262,-4.66173994751215,-999999488.0,-999999488.0,-999999488.0,-999999488.0,21.025962829589844,0.26077979803085327,14.196678566271345
36.08145063673938,-4.657819310759962,-999999488.0,-999999488.0,-999999488.0,-999999488.0,20.88755989074707,0.25640013813972473,13.830585708842065
36.07485002122382,-4.6568115375002055,-999999488.0,-999999488.0,-999999488.0,-999999488.0,20.1597900390625,0.17609192430973053,14.080439754741786
36.07274138910133,-4.655057211181502,-999999488.0,-999999488.0,-999999488.0,-999999488.0,19.771629333496094,0.23409754037857056,14.104876586778603
36.07585772386074,-4.655089928993426,-999999488.0,-999999488.0,-999999488.0,-999999488.0,20.417451858520508,0.16723506152629852,13.966634637004452
36.07446586834514,-4.652783652052904,-999999488.0,-999999488.0,-999999488.0,-999999488.0,20.196638107299805,0.18208204209804535,13.937433249074912
36.150302309253,-4.643044088321471,19.611928939819336,0.059269100427627563,-999999488.0,-999999488.0,-999999488.0,-999999488.0,10.450700130851105
36.17163742125247,-4.643081957274574,18.96648597717285,0.031001107767224312,-999999488.0,-999999488.0,17.456201553344727,0.03075554594397545,9.780943581129637
36.191830788863975,-4.643252218098825,19.77521514892578,0.05894084647297859,-999999488.0,-999999488.0,18.303956985473633,0.06927095353603363,9.272544733959828
36.10188850816316,-4.643567371423521,18.265628814697266,0.018677642568945885,-999999488.0,-999999488.0,16.741334915161133,0.019312215968966484,12.356099161819966
36.11756244697698,-4.6443263551310565,21.52012825012207,0.10878113657236099,-999999488.0,-999999488.0,-999999488.0,-999999488.0,11.735843263436603
36.144832563219026,-4.644604628257824,21.75494384765625,0.1332007497549057,-999999488.0,-999999488.0,-999999488.0,-999999488.0,10.716409328147023
36.16125564076618,-4.64426022978312,19.58085823059082,0.051682326942682266,-999999488.0,-999999488.0,18.09273910522461,0.05717025324702263,10.153398315559507
36.15866346395175,-4.644852635903386,21.861116409301758,0.15659184753894806,-999999488.0,-999999488.0,-999999488.0,-999999488.0,10.265371829186378
36.126854173715415,-4.645257071164511,21.378854751586914,0.12047301977872849,-999999488.0,-999999488.0,20.19847869873047,0.26369187235832214,11.41075060353446
36.13160687856065,-4.645289466562673,20.405179977416992,0.0850440189242363,-999999488.0,-999999488.0,19.32062530517578,0.13756586611270905,11.230882063760026
36.13895001151395,-4.645302646799881,19.993192672729492,0.09348504990339279,-999999488.0,-999999488.0,19.525535583496094,0.15992897748947144,10.959911510843604
36.120682100951875,-4.644562182355071,15.758922576904297,0.0030995942652225494,-999999488.0,-999999488.0,15.354484558105469,0.004564135801047087,11.621283402038884
36.12050609537697,-4.64549249144219,20.61431884765625,0.11486551910638809,-999999488.0,-999999488.0,20.580944061279297,0.24422535300254822,11.66998378552421
36.15244144502232,-4.645464359298755,20.713890075683594,0.13291522860527039,-999999488.0,-999999488.0,18.7867488861084,0.08872870355844498,10.498637388490888
36.15296676422839,-4.645639503351447,21.582698822021484,0.14416034519672394,-999999488.0,-999999488.0,-999999488.0,-999999488.0,10.489960069432351
36.17692666110549,-4.645493157824319,21.579788208007812,0.24962118268013,-999999488.0,-999999488.0,21.3679256439209,0.8078508973121643,9.762505116203856
36.18589466815366,-4.645495923204609,20.97694969177246,0.14661656320095062,-999999488.0,-999999488.0,20.592321395874023,0.30197426676750183,9.53460883028658
36.13635243444913,-4.645596165727395,19.54458236694336,0.05518057197332382,-999999488.0,-999999488.0,18.58550262451172,0.0883503183722496,11.068643909748866
36.15008250724522,-4.645597810533258,20.89545440673828,0.13493354618549347,-999999488.0,-999999488.0,19.0145263671875,0.11489073932170868,10.584307021232393
36.08967363214649,-4.646032690981397,21.56324005126953,0.20037446916103363,-999999488.0,-999999488.0,-999999488.0,-999999488.0,12.989227942236555
36.189223631123255,-4.645816273745402,21.91366958618164,0.1744624376296997,-999999488.0,-999999488.0,-999999488.0,-999999488.0,9.474049643315537
36.141247955000686,-4.646474537752981,20.919273376464844,0.11752782016992569,-999999488.0,-999999488.0,20.583620071411133,0.34490129351615906,10.933607221221507
36.199414237538825,-4.64679060494486,21.97667121887207,0.2721945345401764,-999999488.0,-999999488.0,-999999488.0,-999999488.0,9.31259736018976
36.175849831968875,-4.647035538084595,19.534778594970703,0.048278894275426865,-999999488.0,-999999488.0,18.045690536499023,0.05279713124036789,9.874099750287039
36.1368979043055,-4.647439184568106,21.361740112304688,0.15143448114395142,-999999488.0,-999999488.0,-999999488.0,-999999488.0,11.136272918012775
36.20145228282643,-4.64700237429779,17.438188552856445,0.008140831254422665,-999999488.0,-999999488.0,16.974958419799805,0.01646517589688301,9.285781172050253
36.08769387978398,-4.6478079122241684,22.375110626220703,0.4475061595439911,-999999488.0,-999999488.0,19.4621639251709,0.15980646014213562,13.148479061812635
36.167313981680046,-4.647771861649475,21.936016082763672,0.20633524656295776,-999999488.0,-999999488.0,-999999488.0,-999999488.0,10.152244527297652
36.10929906001202,-4.648276552193375,22.312894821166992,0.1806124895811081,-999999488.0,-999999488.0,-999999488.0,-999999488.0,12.245994673199329
36.13615819309472,-4.648215786769018,22.228435516357422,0.1678830236196518,-999999488.0,-999999488.0,-999999488.0,-999999488.0,11.200160983804254
36.18332981102555,-4.648073557801409,21.242990493774414,0.12471796572208405,-999999488.0,-999999488.0,20.031497955322266,0.20193451642990112,9.738209265799128
36.09952879033819,-4.648382725620268,20.44764518737793,0.1142253428697586,-999999488.0,-999999488.0,19.643844604492188,0.13672751188278198,12.659147415392532
36.082620280345296,-4.6858404636708295,20.237403869628906,0.0761600211262703,-999999488.0,-999999488.0,19.077234268188477,0.10994545370340347,14.984750031606959
36.08137363559495,-4.684961687184308,19.391319274902344,0.03885515034198761,-999999488.0,-999999488.0,19.36807632446289,0.12186887860298157,14.99560235115197
36.08184674274719,-4.682246445011217,17.39659881591797,0.009487715549767017,-999999488.0,-999999488.0,15.836172103881836,0.008540784940123558,14.856282998945641
36.07596288464969,-4.679653213501989,19.81645393371582,0.07101975381374359,-999999488.0,-999999488.0,18.507781982421875,0.0828937366604805,14.98441758228697
36.08137950841912,-4.67916547581431,19.64333724975586,0.057088594883680344,-999999488.0,-999999488.0,18.41376495361328,0.06823699921369553,14.739872061320362
36.08324956446881,-4.67911997544595,21.745237350463867,0.13198770582675934,-999999488.0,-999999488.0,-999999488.0,-999999488.0,14.661576330016445
36.074663051395135,-4.677485511436771,19.834016799926758,0.06761810183525085,-999999488.0,-999999488.0,18.335851669311523,0.0733322873711586,14.945584091934041
36.07762406585833,-4.677157984241803,18.897716522216797,0.05035083368420601,-999999488.0,-999999488.0,18.183862686157227,0.08788318186998367,14.807754780308802
36.07347175268998,-4.676744208832178,19.730504989624023,0.061625268310308456,-999999488.0,-999999488.0,18.2711124420166,0.06305816024541855,14.964111969612528
36.07386718298749,-4.67602424495098,19.60161781311035,0.05006527155637741,-999999488.0,-999999488.0,18.57609748840332,0.06938385963439941,14.916823137242982
36.07745038341584,-4.6759327189436055,21.771831512451172,0.1446484476327896,-999999488.0,-999999488.0,-999999488.0,-999999488.0,14.762337381283796
36.07407883313732,-4.675169606325237,19.922273635864258,0.0609753355383873,-999999488.0,-999999488.0,18.636886596679688,0.07882680743932724,14.871607191014283
36.07326910175834,-4.675033973367119,21.048242568969727,0.1446237862110138,-999999488.0,-999999488.0,-999999488.0,-999999488.0,14.90017248559
36.08072389013986,-4.674532456182428,22.22979736328125,0.23062829673290253,-999999488.0,-999999488.0,-999999488.0,-999999488.0,14.56563150328441
36.077385816888146,-4.674073206019361,21.506380081176758,0.23551109433174133,-999999488.0,-999999488.0,-999999488.0,-999999488.0,14.685488573696047
36.07955120437007,-4.672924324960012,20.505666732788086,0.14175374805927277,-999999488.0,-999999488.0,18.59328269958496,0.09778700023889542,14.54549297206719
36.07710815213284,-4.671089266349605,22.2481632232666,0.26054245233535767,-999999488.0,-999999488.0,-999999488.0,-999999488.0,14.570496975579793
36.080044656803636,-4.67006477484397,20.460588455200195,0.15291209518909454,-999999488.0,-999999488.0,19.338903427124023,0.18913982808589935,14.402780463529343
36.0721739026676,-4.669892285311963,18.416940689086914,0.02236097864806652,-999999488.0,-999999488.0,16.806625366210938,0.022119766101241112,14.731609620666141
36.07074641740916,-4.669782801398446,19.731552124023438,0.08154874294996262,-999999488.0,-999999488.0,18.23491859436035,0.08123467117547989,14.78883856257332
36.07168043955702,-4.669213043233148,20.684762954711914,0.0811377763748169,-999999488.0,-999999488.0,20.927431106567383,0.23842713236808777,14.724804380668823
36.06714813456461,-4.668968654520007,20.965105056762695,0.15128667652606964,-999999488.0,-999999488.0,20.48865509033203,0.35946476459503174,14.912333794940501
36.06793077775122,-4.668242071703792,21.637327194213867,0.2284577339887619,-999999488.0,-999999488.0,-999999488.0,-999999488.0,14.84837289523241
36.066454358603266,-4.668056084614754,21.145713806152344,0.149632066488266,-999999488.0,-999999488.0,20.237808227539062,0.1552353948354721,14.905700520054763
36.070903899006545,-4.667879799148408,22.561330795288086,0.3284529149532318,-999999488.0,-999999488.0,-999999488.0,-999999488.0,14.703568600609685
36.08164873659366,-4.666472142727633,16.669851303100586,0.005087103229016066,-999999488.0,-999999488.0,15.87484359741211,0.006655958015471697,14.182625866764385
36.0777749966096,-4.667046194606824,22.30550193786621,0.215801402926445,-999999488.0,-999999488.0,19.394058227539062,0.1473725289106369,14.372028374357798
36.06461141400552,-4.666953551431526,22.405132293701172,0.25341325998306274,-999999488.0,-999999488.0,21.060104370117188,0.2689608037471771,14.942640342744514
36.06329489635476,-4.665229873322213,19.71739387512207,0.05805342271924019,-999999488.0,-999999488.0,18.116262435913086,0.05759774520993233,14.932306797284703
36.24341225213621,-4.638583879504192,-999999488.0,-999999488.0,-999999488.0,-999999488.0,17.665184020996094,0.017872177064418793,8.324362598842644
36.24293333524336,-4.638754864870425,-999999488.0,-999999488.0,-999999488.0,-999999488.0,16.14052963256836,0.0052399905398488045,8.336013430958525
36.24342350521748,-4.637866379070935,-999999488.0,-999999488.0,-999999488.0,-999999488.0,16.20410919189453,0.006893050391227007,8.281329088408105
36.24481040073755,-4.637098052414524,-999999488.0,-999999488.0,-999999488.0,-999999488.0,18.185823440551758,0.027306554839015007,8.231736957082617
36.24347359826915,-4.6384662719784675,-999999488.0,-999999488.0,-999999488.0,-999999488.0,18.160640716552734,0.01903042010962963,8.317141060339498
36.242931288815775,-4.638208875281952,-999999488.0,-999999488.0,-999999488.0,-999999488.0,16.404647827148438,0.0066178347915410995,8.303302595209772
36.24292666781198,-4.639109747613603,-999999488.0,-999999488.0,-999999488.0,-999999488.0,17.84579849243164,0.017523908987641335,8.357299250234474
36.24530803562448,-4.635806423059549,-999999488.0,-999999488.0,-999999488.0,-999999488.0,17.471651077270508,0.01287907175719738,8.153216172890716
36.24530537971092,-4.636205918554332,-999999488.0,-999999488.0,-999999488.0,-999999488.0,17.892454147338867,0.01689756289124489,8.177177192302684
36.24515957413986,-4.636029170697081,-999999488.0,-999999488.0,-999999488.0,-999999488.0,18.06140899658203,0.019938640296459198,8.166883062983173
36.2433169240951,-4.636930819411045,-999999488.0,-999999488.0,-999999488.0,-999999488.0,16.72616195678711,0.010683786123991013,8.225566604274832
36.24393385229066,-4.637527433304925,-999999488.0,-999999488.0,-999999488.0,-999999488.0,18.00417709350586,0.01750105619430542,8.259618296672327
36.24308503102063,-4.638531168955027,-999999488.0,-999999488.0,-999999488.0,-999999488.0,17.985004425048828,0.017420995980501175,8.322153152262114
36.24317718535174,-4.637293632339223,-999999488.0,-999999488.0,-999999488.0,-999999488.0,15.267500877380371,0.0039162724278867245,8.247719010149744
36.24480931861427,-4.63668644620994,-999999488.0,-999999488.0,-999999488.0,-999999488.0,17.072174072265625,0.009901460260152817,8.20706065125864
36.24373216908144,-4.637987913941961,-999999488.0,-999999488.0,-999999488.0,-999999488.0,18.146207809448242,0.020647048950195312,8.287757406640978
