#ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pmgaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflagzinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3,SAM Flag
1.110622556929065e+17,225.56925078255,0.0012559899848988,2.55504318613373,0.00133259532462059,20.4106006622314,0.0187669992446899,19.1144008636475,0.0101290000602603,18.1798992156982,0.00315000000409782,17.8276996612549,0.00338099990040064,17.6028995513916,0.00675400020554662,3600.0,3.5,-2.2,-34.077692,-35.329337,-36.204839,-36.61241,-36.800358,-37.119616,-37.374324,-37.09045,54.356658507004354,0.00010435341639995873,0.012502862181787852,16.364042507004353,0.0008067773146998762,15.615334507004352,0.0008067773146998762,15.432208507004356,0.0008067773146998762,1.153877461248104e+18,225.56925585004592,0.20843492,2.555047333306302,0.18677315,1.6122520398570346,0.2290738,9.011416,6.636903277116387,0.2636802,6.0956664438330925,0.22597754,1.066917,503635968.0,60.0,74.0,5.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0
1.1119225563896218e+17,225.563859552372,0.00177829735112868,2.65976540599455,0.00185295078040461,20.6231002807617,0.0300999991595745,19.2851009368896,0.0130869997665286,18.5606002807617,0.00574100017547607,18.132999420166,0.00498000020161271,17.8911991119385,0.00915199983865023,3500.0,4.0,-1.6,-34.167397,-35.420723,-36.21151,-36.593131,-36.799039,-37.117163,-37.326898,-37.039772,54.66146427301601,0.00024375961967300762,0.021949741254457204,16.67130127301601,0.0008067773146998762,15.967566273016008,0.0008067773146998762,15.787692273016008,0.0008067773146998762,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,60.0,5.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0
1.1034225305908021e+17,225.305880227238,0.000750083190758533,1.94980900667974,0.000750897444611082,17.846700668335,0.0025069999974221,17.404899597168,0.00226600002497435,17.2893009185791,0.00185999996028841,17.1476993560791,0.00332899997010827,17.1443996429443,0.00451199989765882,5562.5,0.0,0.1,-38.016047,-38.431108,-38.563242,-38.619469,-38.650826,-38.580705,-38.426941,-37.968806,55.74592632367097,9.263957765997023e-06,0.013373057253854128,16.29222132367097,0.0008067773146998762,15.951985323670971,0.0008067773146998762,15.94312032367097,0.0008067773146998762,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,503635968.0,60.0,67.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.105622573125796e+17,225.731234375886,0.000601634787093517,2.14094331757104,0.000607087094836012,17.7299995422363,0.00266400002874434,17.2894992828369,0.00224400009028614,17.040599822998,0.00140299997292459,17.0097999572754,0.00194500002544373,16.9754009246826,0.003969999961555,5500.0,5.0,0.6,-37.831438,-38.253479,-38.434617,-38.492432,-38.512874,-38.482781,-38.380849,-37.941571,55.4373441613541,6.728953255220652e-06,0.006345419302349153,16.081563161354094,0.0008067773146998762,15.689495161354099,0.0008067773146998762,15.661773161354093,0.0008067773146998762,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,503635968.0,60.0,80.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.1020225626367594e+17,225.626373916952,0.0127116611589162,1.83779557672993,0.0127116611589162,22.3593997955322,0.0755219981074333,21.671199798584,0.0600650012493134,21.183500289917,0.0308219995349646,20.9113998413086,0.0387960001826286,20.9521999359131,0.102360002696514,4375.0,3.5,1.0,-36.285928,-37.059557,-37.432821,-37.607697,-37.707901,-37.850657,-37.95479,-37.588986,58.55808865432747,0.004448814402150682,0.1002901867998102,19.83443165432747,0.0008067773146998762,19.236298654327467,0.0008067773146998762,19.13510265432747,0.0008067773146998762,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,37.0,5.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0
1.1034225943661776e+17,225.943645159383,0.000357398240242775,1.95609312230976,0.00036013635172079,16.8250007629395,0.00132299994584173,16.36669921875,0.00124899996444583,16.3309001922607,0.000783999974373728,16.2490005493164,0.00129499996546656,16.1786003112793,0.0027169999666512,5812.5,0.0,-1.8,-38.310725,-38.699341,-38.778048,-38.786244,-38.864436,-38.706992,-38.475795,-38.016003,55.00092445512614,2.596819891408385e-06,0.013756752902210559,15.420932455126138,0.0008067773146998762,15.15812945512614,0.0008067773146998762,15.15092145512614,0.0008067773146998762,1.1535869496607693e+18,225.94364396757078,0.051269114,1.9560863843222245,0.046091657,0.3797111891917374,0.062152613,7.1192985,-0.30512438063584885,0.068110935,-7.112756667927135,0.053733103,0.9146945,503635968.0,60.0,76.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.1045225429775158e+17,225.429757391264,0.00214500496139359,2.0426201407894,0.002191414642882,21.7315006256104,0.041058000177145,20.5694999694824,0.0195240005850792,19.2408008575439,0.00536999991163611,18.573600769043,0.00658300006762147,18.3708992004395,0.0110870003700256,3400.0,4.75,-2.0,-33.047226,-34.165212,-35.494185,-36.072336,-36.332479,-36.768015,-37.256122,-36.956153,54.64436765197446,0.0004524080687077671,0.018012543802980133,17.003352651974463,0.0008067773146998762,16.021245651974464,0.0008067773146998762,15.854214651974461,0.0008067773146998762,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,83.0,5.0,195035205.0,655488.0,196608.0,195035205.0,655488.0,196608.0,195035205.0,655488.0,196608.0,195035205.0,655488.0,196608.0,195035205.0,655488.0,196608.0
1.1111225740001283e+17,225.74000791462,0.00231289971445351,2.5936092802454,0.00225197107863683,19.3075008392334,0.00647100014612079,19.0575008392334,0.00645300000905991,19.0263996124268,0.00668800016865134,18.9624004364014,0.00773400021716952,18.9634990692139,0.0185930002480745,6187.5,0.25,-0.3,-38.730256,-38.937488,-38.953739,-38.983779,-38.99197,-38.808011,-38.542242,-38.075648,57.90581770827909,0.00010675176316959591,0.0013089597767620138,18.224806708279086,0.0008067773146998762,17.996575708279085,0.0008067773146998762,17.996169708279083,0.0008067773146998762,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,82.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.1040225586010526e+17,225.585960541086,0.00497991027407848,2.00396692845148,0.00500658083321041,23.1919994354248,0.149868994951248,22.0764007568359,0.0711629986763,20.271900177002,0.013969000428915,19.6121997833252,0.0144260004162788,19.1562004089355,0.0194899998605251,3100.0,3.25,-3.0,-32.331522,-33.414459,-35.146112,-35.844206,-36.283921,-36.812562,-36.999185,-36.761155,55.390894015406005,0.005661598116771411,0.009819534764055012,17.705332015406004,0.0008067773146998762,17.024709015406007,0.0008067773146998762,16.795739015406,0.0008067773146998762,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,66.0,20.0,195035141.0,655360.0,0.0,195035141.0,655360.0,0.0,195035141.0,655360.0,0.0,195035141.0,655360.0,0.0,195035141.0,655360.0,0.0
1.1036225493326238e+17,225.493290343321,0.00300773151665225,1.96825073531702,0.0030803188152574,20.6529998779297,0.0175160001963377,19.9041996002197,0.0132910003885627,19.4202995300293,0.00659199990332127,19.1595993041992,0.0122570004314184,19.1830997467041,0.0264880005270243,4375.0,5.0,1.0,-36.284778,-37.082915,-37.463037,-37.638668,-37.733374,-37.84864,-37.886838,-37.543652,56.82841246813696,0.00027575272968553886,0.06942593946747591,18.106772468136956,0.0008067773146998762,17.574574468136962,0.0008067773146998762,17.450760468136956,0.0008067773146998762,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,73.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
