ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,ob_j,ob_j_error,ob_h,ob_h_error,ob_k,ob_k_error,diff_j,diff_h,diff_k
1.0132034564236742e+17,34.5642957323053,8.525024805230985e-07,-5.56088483400297,8.73026723665249e-07,22.3073997497559,0.0656369999051094,21.0471992492676,0.0275229997932911,19.5941009521484,0.00821200013160706,18.8595008850098,0.0092799998819828,18.635799407959,0.0180970001965761,3300.0,5.25,-2.1,-32.831059,-34.056611,-35.531433,-36.177479,-36.465744,-36.904508,-37.218041,-36.916634,55.06829061872023,0.0011093576068501648,0.021261642608623024,17.267782618720233,0.0012168296100425584,16.469249618720234,0.0012168296100425584,16.30765661872023,0.0012168296100425584,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.672758,1.0035225,17.520401,0.1235429,16.71694,0.028744545,5.404976,1.0511513,0.40928268
1.0132034385452741e+17,34.3854812450921,2.481416347260531e-07,-5.56083494941123,2.5312794324822215e-07,19.0478000640869,0.00531900022178888,18.1763000488281,0.00271199992857873,17.770299911499,0.00220500002615154,17.5648002624512,0.00329499994404614,17.5154991149902,0.00755399977788329,4400.0,0.5,-1.6,-35.767484,-36.632653,-37.016597,-37.203603,-37.303848,-37.488538,-37.661017,-37.236481,54.76631199657104,2.168573387257087e-05,0.008506116884787519,16.38177399657104,0.0005004700501064893,15.72429499657104,0.0005004700501064893,15.685830996571044,0.0005004700501064893,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.46646,0.02319444,18.09149,0.063608944,15.747204,0.013164725,0.08468437,2.3671951,0.061372757
1.0132034385452741e+17,34.3854812450921,2.481416347260531e-07,-5.56083494941123,2.5312794324822215e-07,19.0335006713867,0.0053790002129972,18.1639995574951,0.00271899998188019,17.7604999542236,0.00225999997928739,17.5673999786377,0.00317099993117154,17.5039005279541,0.00767400022596121,4500.0,0.25,-1.5,-35.712159,-36.553589,-36.931244,-37.106819,-37.203025,-37.355201,-37.474341,-37.044798,54.67376071478442,2.2075944826162005e-05,0.005762092691232255,16.42255971478442,0.0005004871100637536,15.818419714784419,0.0005004871100637536,15.784962714784422,0.0005004871100637536,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.46646,0.02319444,18.09149,0.063608944,15.747204,0.013164725,0.043899536,2.2730703,-0.037758827
1.0132034385452741e+17,34.3854812450921,2.481416347260531e-07,-5.56083494941123,2.5312794324822215e-07,19.0478000640869,0.00531900022178888,18.1763000488281,0.00271199992857873,17.770299911499,0.00220500002615154,17.5648002624512,0.00329499994404614,17.5154991149902,0.00755399977788329,4400.0,0.5,-1.6,-35.767484,-36.632653,-37.016597,-37.203603,-37.303848,-37.488538,-37.661017,-37.236481,54.76631199657104,2.168573387257087e-05,0.008506116884787519,16.38177399657104,0.0005004700501064893,15.72429499657104,0.0005004700501064893,15.685830996571044,0.0005004700501064893,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.46646,0.02319444,18.09149,0.063608944,15.747204,0.013164725,0.08468437,2.3671951,0.061372757
1.0132034385452741e+17,34.3854812450921,2.481416347260531e-07,-5.56083494941123,2.5312794324822215e-07,19.0335006713867,0.0053790002129972,18.1639995574951,0.00271899998188019,17.7604999542236,0.00225999997928739,17.5673999786377,0.00317099993117154,17.5039005279541,0.00767400022596121,4500.0,0.25,-1.5,-35.712159,-36.553589,-36.931244,-37.106819,-37.203025,-37.355201,-37.474341,-37.044798,54.67376071478442,2.2075944826162005e-05,0.005762092691232255,16.42255971478442,0.0005004871100637536,15.818419714784419,0.0005004871100637536,15.784962714784422,0.0005004871100637536,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.46646,0.02319444,18.09149,0.063608944,15.747204,0.013164725,0.043899536,2.2730703,-0.037758827
1.0133034297405858e+17,34.2974485565203,6.801971158441538e-08,-5.55160912711031,6.88461013044885e-08,16.3229999542236,0.000951000023633242,16.0018997192383,0.000798000022768974,15.8865003585815,0.000630999973509461,15.87380027771,0.00111299997661263,15.8247995376587,0.00191600003745407,5800.0,1.5,-1.8,-38.118336,-38.41988,-38.529435,-38.557491,-38.579787,-38.515783,-38.37002,-37.904764,54.38917373937661,1.3698382278644726e-06,0.0022382530394496206,14.97739073937661,0.0005000018764532494,14.638153739376612,0.0005000018764532494,14.64040973937661,0.0005000018764532494,2.487948218110376e+18,34.29745216909857,0.039900895,-5.551615199537293,0.036275525,0.518082935119364,0.04458832,13.292818,1.3629893170558067,0.057413492,-13.222755476784334,0.04779917,1.0493176,15.044141,0.0013440258,14.739739,0.0011781582,14.702254,0.0017241503,0.06675053,0.10158539,0.061844826
1.0133034305027003e+17,34.3050461568172,1.1150544273430359e-07,-5.55871912669691,1.1186082331577321e-07,19.0277004241943,0.00476599996909499,17.7964000701904,0.00230000005103648,16.5214004516602,0.00108399998862296,15.8816995620728,0.00111900002229959,15.5945997238159,0.0016629999736324,3200.0,5.5,-1.9,-33.106961,-34.330476,-35.627286,-36.225687,-36.487091,-36.892188,-36.983324,-36.730714,52.0868229050885,6.6395083755447355e-06,0.00855486679549363,14.298634905088505,0.0005000440811283231,13.7224989050885,0.0005000440811283231,13.512108905088505,0.0005000440811283231,2.4879482138150866e+18,34.30506341145737,0.07115013,-5.558726839926138,0.06989216,3.2248169807800484,0.08561564,20.196758,13.90598736575496,0.09752838,-14.646930804338147,0.09209189,1.1074108,14.428925,0.003702741,13.883822,0.0032009734,13.595604,0.0046576806,0.13029003,0.16132355,0.08349514
1.0133034376491462e+17,34.3765213984501,1.5251195037751338e-06,-5.55487587145814,1.5251195037751338e-06,20.6473999023438,0.0201910007745028,20.4605007171631,0.0181569997221231,20.4088001251221,0.015107000246644,20.4806003570557,0.0385980010032654,20.0398998260498,0.0632959976792336,5400.0,5.5,-1.0,-37.647574,-37.809574,-37.919365,-37.982999,-38.037633,-38.182479,-38.41069,-37.84814,58.252969025821834,0.0012923527222589752,0.37931966940123174,19.174490025821832,0.0013857039939071344,18.46127902582183,0.0013857039939071344,18.560829025821832,0.0013857039939071344,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.689524,0.023077207,19.433395,0.025035406,19.371552,0.078359775,0.5150337,0.9721165,0.81072235
1.0133034376491462e+17,34.3765213984501,1.5251195037751338e-06,-5.55487587145814,1.5251195037751338e-06,20.6347999572754,0.0208650007843971,20.419900894165,0.0175090003758669,20.3894996643066,0.0162240006029606,20.4568004608154,0.0351019985973835,20.0643005371094,0.068011000752449,5400.0,5.5,-1.0,-37.647574,-37.809574,-37.919365,-37.982999,-38.037633,-38.182479,-38.41069,-37.84814,58.23859216704786,0.0013725556152680391,0.3012093960241074,19.16011316704786,0.0014607905109918482,18.44690216704786,0.0014607905109918482,18.54645216704786,0.0014607905109918482,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.689524,0.023077207,19.433395,0.025035406,19.371552,0.078359775,0.5294113,0.98649406,0.82509995
1.0133034376491462e+17,34.3765213984501,1.5251195037751338e-06,-5.55487587145814,1.5251195037751338e-06,20.6473999023438,0.0201910007745028,20.4605007171631,0.0181569997221231,20.4088001251221,0.015107000246644,20.4806003570557,0.0385980010032654,20.0398998260498,0.0632959976792336,5400.0,5.5,-1.0,-37.647574,-37.809574,-37.919365,-37.982999,-38.037633,-38.182479,-38.41069,-37.84814,58.252969025821834,0.0012923527222589752,0.37931966940123174,19.174490025821832,0.0013857039939071344,18.46127902582183,0.0013857039939071344,18.560829025821832,0.0013857039939071344,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.689524,0.023077207,19.433395,0.025035406,19.371552,0.078359775,0.5150337,0.9721165,0.81072235
