ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflag,zinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3,SAM Flag
1.8806269737011798e+17,269.73700056,0.003470000112429261,66.72269236,0.006289999932050705,21.088770900702837,0.0456450113157787,20.086083132005033,0.015200059018385927,19.126296847194407,0.009197119835115097,18.746702979612817,0.009878156674148169,18.571976680318794,0.020955048122435996,3700.0,5.25,-3.7,-34.932512,-35.916079,-36.765533,-37.017915,-37.335581,-37.564293,-37.896877,-37.481317,55.917490107966785,0.01083658227770006,1.3167418164158426,17.471608835785705,0.01083658227770006,16.648605866486804,0.01083658227770006,16.598275141537044,0.01083658227770006,1.63332802775497e+18,269.7370053803177,0.33114946,66.7226913073066,0.37881017,0.3300642137274117,0.34704387,6.359874,3.7423648571487615,0.515303,5.142246398315715,0.50869673,1.0511162,436527104.0,52.0,68.0,10.0,195035141.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.8815270232765245e+17,270.23277777,0.013079999946057796,66.79304474,0.0035600000992417336,18.014814179437238,0.003196644845865578,17.601232486753997,0.002257137578786281,17.541201293176837,0.0019244180432243698,17.436182452501342,0.004035441501437324,17.413235349202413,0.007777158462102937,5750.0,0.0,-0.3,-38.248239,-38.619087,-38.71044,-38.756769,-38.799431,-38.667132,-38.466269,-38.004232,56.228126352214375,0.0019574021046421474,0.020651269540882745,16.679406080033292,0.0019574021046421474,16.3898501107344,0.0019574021046421474,16.38599638578463,0.0019574021046421474,2.2578387825206108e+18,270.23277611218293,0.07535066,66.79304546281664,0.08326649,0.1965656788398082,0.07556406,4.400908,-3.1880403817712364,0.09957494,-3.0338737881376603,0.10104424,0.99799186,503635968.0,60.0,87.0,10.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,K0
1.8786270394040333e+17,270.39393328,0.02273000031709671,66.55205664,0.03641999885439873,23.403681996703178,0.17362110578886142,22.3402369520765,0.09016708499136623,20.942964096956803,0.03497801410624537,20.414242881070138,0.03768302404874657,20.029524516298412,0.0660180073815369,3600.0,5.25,-3.6,-34.029413,-34.985993,-36.222136,-36.695426,-36.990327,-37.347104,-37.702214,-37.356916,57.210789088621006,0.042556428732726644,3.0212018322282286,18.982096816439924,0.042556428732726644,18.13656784714103,0.042556428732726644,18.015975122191264,0.042556428732726644,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,35.0,5.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,655488.0,196608.0,195035141.0,655360.0,196608.0,c1
1.87932694699344e+17,269.46990637,0.007319999858736992,66.61101073,0.008999999612569809,20.063662324551714,0.01321934211254097,19.477409805041525,0.007820445986789971,19.159332468053034,0.006946320790775704,19.03281688339306,0.01592210848437958,19.033675737557722,0.03488903498683033,5062.5,5.0,1.0,-37.328434,-37.863536,-38.110911,-38.207774,-38.269694,-38.26916,-38.218628,-37.809333,57.30944924371942,0.008378353190811866,0.1336368743833111,18.15870097153834,0.008378353190811866,17.71881400223944,0.008378353190811866,17.662218277289675,0.008378353190811866,1.6333253519951145e+18,269.46990561433824,0.2191611,66.61100516248875,0.2504056,0.2832441239712029,0.23064584,5.9003854,-4.6593229148756246,0.3134476,-3.620118206128773,0.30530494,1.0321604,436527104.0,52.0,83.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,K0
1.877126964607779e+17,269.6460441,0.017480000853538513,66.43093963,0.024170000106096268,23.06338596108794,0.15663205503176209,21.732423430075556,0.06722507493053868,20.343703197306652,0.019720010884140472,19.74496378423105,0.024529042506223977,19.524448897692473,0.057471008989547726,3400.0,5.25,-3.8,-33.558321,-34.70938,-35.862082,-36.340758,-36.805771,-37.241216,-37.538762,-37.180821,56.33704745407874,0.03652192820359239,2.681727211018904,18.21424318189766,0.03652192820359239,17.426278212598767,0.03652192820359239,17.318328487648998,0.03652192820359239,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,45.0,5.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,195035141.0,524288.0,196608.0,c1
1.8770270328722528e+17,270.32869237,0.0037899999879300594,66.42042546,0.005140000022947788,21.301215151552274,0.02978711872533573,19.980860148954726,0.01272915319802012,18.81977572881662,0.004339369081832365,18.24244394647774,0.00686323707994717,18.007426038468054,0.013367081263927844,3400.0,5.25,-4.0,-33.977897,-35.132432,-36.04554,-36.402014,-36.961987,-37.389647,-37.68894,-37.271563,54.97431820285389,0.007194210983440193,1.9801370747832063,16.70308293067281,0.007194210983440193,15.913370961373907,0.007194210983440193,15.864857236424145,0.007194210983440193,2.2578037355872614e+18,270.3286842297978,0.3050411,66.42043230481214,0.266888,1.799574713166826,0.28682262,15.068181,-3.775979516927331,0.46449593,14.587393813971884,0.36381173,1.1269202,436527104.0,52.0,93.0,5.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.8784269810152272e+17,269.8101665,0.0014400000218302011,66.53497493,0.0022799998987466097,15.809181891222941,0.0008988716113861364,15.460157838885703,0.0005839091142835512,15.3136129348748,0.0004918302708552294,15.34098369021574,0.0010157692061903657,15.26943765268312,0.00152981606173945,5875.0,1.25,-0.2,-38.336838,-38.690025,-38.783553,-38.791936,-38.837632,-38.716259,-38.521064,-38.05762,54.12667160157646,0.00043648327829732246,0.022185036964466054,14.52882432939538,0.00043648327829732246,14.233600360096482,0.00043648327829732246,14.23115363514672,0.00043648327829732246,1.633310405508229e+18,269.8101687999296,0.055288043,66.53497429774681,0.05432218,0.5790803111210973,0.0547749,5.0759344,1.5152810976486597,0.07616529,-4.8444845935644185,0.066684574,2.067906,503635968.0,60.0,95.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,K0
1.877226984939523e+17,269.8493151,0.020670000463724136,66.43457083,0.03347000107169151,22.558068554734085,0.08827604233479978,21.520816908131216,0.04431900268803108,20.836868709712974,0.026943006844872216,20.462982497779045,0.04466602928381625,20.512953728160163,0.11261600964669585,4100.0,3.25,-3.0,-35.484719,-36.496665,-37.038981,-37.261196,-37.400321,-37.672168,-37.963183,-37.578721,57.914714479703505,0.03172392098598616,0.7688441945927104,19.360958207522426,0.03172392098598616,18.579524238223527,0.03172392098598616,18.49809551327376,0.03172392098598616,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,44.0,5.0,195035141.0,655360.0,196608.0,195035205.0,655488.0,196608.0,262144005.0,524416.0,196608.0,195035141.0,524416.0,196608.0,195035141.0,655360.0,196608.0,c1
1.876327026625534e+17,270.26621873,0.015650000423192978,66.36056147,0.021209999918937683,22.651122903672885,0.09457202877885186,21.91026871441079,0.0596580019915473,20.611939330711945,0.018719007979541492,20.156808221929968,0.037573033153488034,19.81488482196641,0.06119801259540223,3100.0,5.5,-3.8,-35.45511,-36.027095,-37.3184,-37.632917,-37.687487,-37.119627,-36.682876,-36.493857,57.8532065985384,0.026840474403176787,2.9855018439000234,19.851991326357318,0.026840474403176787,19.798323357058422,0.026840474403176787,19.521451632108658,0.026840474403176787,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,56.0,5.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,195035141.0,655360.0,196608.0,c1
1.8774270416109613e+17,270.41605691,0.002420000033453107,66.45446749,0.002460000105202198,18.121728236864303,0.0030738237158691446,17.237546346028655,0.0017247867392289932,17.004945142062336,0.0010585733067335582,16.841933275597857,0.002514707893765075,16.764395461962366,0.004438277552376093,4937.5,2.75,-2.5,-37.042754,-37.84975,-38.079014,-38.172239,-38.325748,-38.354015,-38.278566,-37.836212,55.08801069250311,0.0012580289726501295,0.09418794573720671,15.852407420322034,0.0012580289726501295,15.437437451023136,0.0012580289726501295,15.413900726073367,0.0012580289726501295,2.2578024642769464e+18,270.416049297202,0.07682032,66.45445776497814,0.063440524,0.7090433530319027,0.06983033,11.041318,-5.785347852799648,0.11504478,-9.404278673370193,0.085199855,1.0110344,503635968.0,60.0,100.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,K0
