source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,ruwe,dist
5057529500930777984,53.163659829566896,0.521357,-27.65292057385765,0.93003124,2.432143564816705,1.8003787,8.019482,-6.938057413990245,0.82543945,4.021870995529507,1.2870518,1.030199,0.15750623711378767
5057526374194005760,53.210468702489344,0.1344498,-27.676309692806793,0.23780273,1.4595731870535815,0.32259527,19.546183,11.261639326640854,0.1962505,15.975879233022551,0.31123504,1.0278445,0.15766786983054018
5060508936925447168,52.985146621112726,0.10171121,-27.679431381684743,0.18193325,0.7628644840822266,0.24279383,6.1115456,0.24855287993110076,0.15527792,6.106489446199718,0.24143474,1.2346166,0.15770713047676535
5057487788208408576,53.235378021158915,0.33411554,-27.902905814168946,0.63004893,-0.4706379085128978,0.80641407,20.050203,-1.1653582128830307,0.5390453,-20.016308111143086,0.9074892,0.9922846,0.15784612744510537
5057504242227851520,52.92271319767354,0.14265491,-27.77985085897637,0.24238917,0.7299655498482717,0.31608292,2.5213199,-1.0596344140930705,0.20693661,-2.2878436831066837,0.3126545,1.0566843,0.15813151756146107
5057497993051770624,52.92712532768044,24.45076,-27.842676637928754,49.11541,,,,,,,,,0.1587382875996076
5060508932628904320,52.98233475620953,0.20619331,-27.68019205758574,0.3538052,0.04249854709068161,0.48382455,17.515839,2.847766997195247,0.32501924,-17.282790107587132,0.47521538,1.0082525,0.15874756363386733
5057529604009412608,53.17501474434377,0.25030023,-27.655766961794953,0.45650265,0.1705445747092313,0.669821,5.869186,1.796174564540223,0.381242,5.587584323034532,0.6293113,1.3066896,0.15878483843367439
5057487788209384192,53.24140929554837,0.02019812,-27.89792903327311,0.032620467,4.250339778170887,0.044562355,97.01652,87.89864679935614,0.030646633,41.06132176246763,0.04438711,1.0540731,0.1588131806245594
5057492736010685952,53.02354053432923,0.3397507,-27.94377856382082,0.7175028,-1.2897999638804407,0.88895077,8.207835,7.864138709709903,0.53166914,-2.3502925114170856,1.110399,1.0341301,0.1588717717308865
5057493526284686976,52.99055738179385,0.2977463,-27.926337123085435,0.5655796,1.649879275929859,0.752853,20.04666,19.84226803110483,0.476488,-2.855341644419847,0.83299136,1.108542,0.15913004737427264
5057493526284721792,52.98613697552568,8.7023325,-27.923425932059253,14.8355665,,,,,,,,,0.15927042844625294
5057526374194587008,53.21570590645007,0.8118767,-27.677924916602734,1.6445675,,,,,,,,,0.1593421477843777
5057486482539418112,53.1621616121568,1.2834448,-27.950225151908633,2.3776343,,,,,,,,,0.15995549642802637
5057486276379513472,53.2169272383099,0.1322287,-27.922201924981568,0.22975118,1.4002902978097485,0.29927936,20.61725,0.19737819074175444,0.19711402,-20.616304905256786,0.31397942,1.0069629,0.16005625137126933
5057529397851563008,53.19000868975889,0.44307116,-27.661090761354153,0.8470738,2.5837709815632905,1.3903773,5.1148853,3.979364335996136,0.6787544,-3.213520354532275,1.3969598,1.0745026,0.1601359227340265
5057489093878431488,53.2744811003647,0.2528379,-27.842853631484722,0.4200164,1.4196470709979607,0.5838446,18.75196,14.18443083788388,0.41387993,-12.265316242718656,0.6097637,1.0477002,0.16014827988709357
5057507094086201344,53.096795817396554,0.06138767,-27.639858529218177,0.10523285,1.5499905020775748,0.14198609,6.196058,-5.8052812148739505,0.08941551,2.1656041167170184,0.13413782,1.0709714,0.16016954640842568
5057513076975769472,53.27962736113678,1.1206613,-27.77770689872556,1.9622327,,,,,,,,,0.1604646123596189
5057526404259146880,53.217615439965634,0.09974532,-27.677860405814602,0.16719861,0.8700460816920543,0.2325353,6.3477087,-6.208478335622452,0.14655864,1.3221954635740518,0.21502703,0.99502134,0.16048266412848583
5057493732443151488,52.97562605265909,3.2990916,-27.91715257064078,9.124022,,,,,,,,,0.16067298904365118
5057496756100200448,52.96060814584434,0.80400455,-27.903354152377897,1.7535193,,,,,,,,,0.16084619730364824
