source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ruwe
2035383528410231424,297.92495135708697,0.36378762,34.027109443611714,0.48363823,0.14752317736685083,0.54662526,0.2698799,3.5926988,0.23542696386093376,0.49280933,-3.584976914765384,0.64957297,1.095838
2035383528410231808,297.92426252940373,0.122688435,34.02882944815427,0.14632376,0.3531439779195273,0.16436328,2.1485577,4.4223166,-2.303342161474003,0.17500602,-3.7751159196735404,0.199979,0.9974029
2035383665856004608,297.9400660572354,0.19645707,34.04857393371759,0.2577834,0.9272762432442835,0.29733115,3.118665,5.1853256,4.48500725131549,0.3023057,-2.602366147699869,0.37185252,1.0505757
2035383627184865408,297.93638772827677,0.06300423,34.038663462275224,0.074548006,0.6371833297283971,0.08409772,7.5767016,5.298534,-1.1053853000841969,0.089505814,-5.18194798528252,0.09828023,1.0033239
2035383627185439104,297.93260176860935,0.05050157,34.04131523200686,0.06791984,0.17117328803959292,0.07240804,2.3640091,5.256794,-2.3385904361280567,0.07049803,-4.707958998929104,0.08893073,1.0611393
2035383627193712128,297.9270856742341,0.11460584,34.0301003013928,0.1350566,0.2914816762476471,0.15401143,1.8925977,3.7666206,-1.7655136796996687,0.16986163,-3.3272199870691557,0.17958741,1.0451456
2035383627193714048,297.92589295157234,0.31290308,34.03156804103265,0.41066214,0.28026656586161736,0.45374388,0.6176757,3.2940238,-3.2207288771794502,0.4677406,0.6910125686784587,0.58952236,1.0736803
2035383631489447296,297.9255164958967,0.1996513,34.03120958386999,0.2517637,0.013339978943327474,0.27889255,0.047831967,1.9679562,-1.0993042944621456,0.2855568,-1.6322933294270963,0.32849777,1.0784173
2035383631493262592,297.93080158578294,0.35559064,34.0340511202349,0.47355118,0.068727987345149,0.50606877,0.1358076,3.9140894,-2.271873802308326,0.48799852,-3.1872693785004085,0.64149684,1.0544266
2035383631493262720,297.9260224344707,0.25879976,34.03500301516933,0.33304295,1.2292629447557444,0.3714145,3.3096793,4.0333433,-1.7698773994900834,0.35697153,-3.62427808941457,0.42263532,0.9271464
2035383631493263616,297.93690253749645,0.38772142,34.036076973690214,0.51096076,0.22929911902318922,0.5600496,0.40942642,6.659548,-2.936566574664242,0.5989358,-5.977136053677521,0.7555762,1.1055983
2035383631493263744,297.9363379593382,0.0962477,34.0358802980395,0.116761945,0.38584696935548657,0.12721725,3.0329769,5.513014,-3.589702376302744,0.136059,-4.184179303119144,0.1530618,1.0263027
2035383631493263872,297.92835615360246,0.32141158,34.03592347218797,0.42311394,0.6965755371564628,0.46857387,1.4865865,7.3558826,-3.6401117446050386,0.4577295,-6.392072694465236,0.55405456,1.0056828
2035383631493264512,297.9266840318375,0.27473816,34.03777889001519,0.3619692,0.1972609318242945,0.39659798,0.49738258,7.4245524,-6.267697492787088,0.37709996,-3.979943036674041,0.44948936,1.7132164
2035383631493265792,297.9309155209472,0.24756029,34.04055345565077,0.28783727,0.5893900314288429,0.35103458,1.6790085,6.8375573,-4.51989512821286,0.3904158,-5.1305689235058995,0.4173859,1.1367351
2035383631496285184,297.9328722722113,0.20234959,34.036307184207736,0.269803,0.5493239802730486,0.28660193,1.9166793,2.467267,-0.7207474706433156,0.2796358,-2.359646067435261,0.35886014,1.1066121
2035383631496289536,297.9302468697876,0.9206157,34.0356827656888,1.1810625,2.47193504673788,1.2043484,2.052508,7.53377,-4.332455665920039,1.3528466,-6.163401879234064,2.1374784,0.96309465
2035383631496293376,297.92605521222816,0.4280131,34.04384833388689,0.59209955,0.25758984738261204,0.6145768,0.4191337,4.309942,-1.1197767226404427,0.6454618,-4.16193432240771,0.8872337,0.95799416
2035383631496295424,297.9265027179217,0.15306735,34.039402611544716,0.1990239,0.18237293336630864,0.21905074,0.83256024,7.049242,-3.331081789197616,0.2169148,-6.2125445378232955,0.25535643,1.1238848
2035383631496296448,297.92877948687357,0.94356376,34.028944037049776,1.4220355,0.7955477327896241,1.635855,0.4863192,0.2486748,0.004587620435902481,1.4229133,0.248632477997433,2.8046358,1.4719454
2035383631520119808,297.92760248045516,0.09040762,34.03143902416716,0.10616982,0.11387113804702242,0.122695684,0.92807776,6.6279283,-2.6143716974261975,0.1305773,-6.090524968781728,0.13897046,0.99863535
2035383631520358528,297.93632188920134,0.026002979,34.036701872245764,0.031517614,0.600901773104305,0.03521725,17.062712,4.6683946,-3.3541171694182514,0.036752306,-3.2471223946643697,0.040691502,1.66646
2035383631520358784,297.9279564626506,0.01803552,34.039002819068585,0.021544378,0.6234997305720955,0.024693605,25.249441,1.8499964,1.8202396876790143,0.025337547,-0.33047567257082655,0.02817655,1.0082794
2035383631520358912,297.930951328696,0.121077314,34.041057002131225,0.15398316,0.23379231223826002,0.16847962,1.3876593,5.2483287,-1.9853951913722652,0.17430872,-4.858308420491795,0.21310084,0.99302435
