objid,raMean,decMean,raMeanErr,decMeanErr,gPSFMag,gPSFMagErr,gKronMag,gKronMagErr,rPSFMag,rPSFMagErr,rKronMag,rKronMagErr,iPSFMag,iPSFMagErr,iKronMag,iKronMagErr,zPSFMag,zPSFMagErr,zKronMag,zKronMagErr,yPSFMag,yPSFMagErr,yKronMag,yKronMagErr,objInfoFlag,qualityFlag,nDetections,nStackDetections,ginfoFlag,ginfoFlag2,ginfoFlag3,rinfoFlag,rinfoFlag2,rinfoFlag3,iinfoFlag,iinfoFlag2,iinfoFlag3,zinfoFlag,zinfoFlag2,zinfoFlag3,yinfoFlag,yinfoFlag2,yinfoFlag3,pmra,pmdec
169703241710125041,324.17110035322,51.4202522329714,0.0179036126745385,0.0179036126745385,24.1516990661621,0.358354985713959,-999,-999,22.2432994842529,0.0769359990954399,-999,-999,21.1525001525879,0.0326469987630844,21.3693008422852,0.05502700060606,20.4993000030518,0.0435490012168884,20.4596004486084,0.0619519986212254,20.1865005493164,0.0824830010533333,20.5912990570068,0.160949006676674,436527104,52,28,4,35651585,4,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-14.1603636723934,19.0415422381964
169703241745472749,324.174522415524,51.4183711235334,0.00101289219617159,0.0010061329239242,19.3852005004883,0.00603399984538555,19.5179996490479,0.00728499982506037,18.334400177002,0.00326799997128546,18.4909992218018,0.00385900004766881,17.8104000091553,0.00218699988909066,17.9517002105713,0.00266900006681681,17.4981994628906,0.00345499999821186,17.6706008911133,0.00439500017091632,17.3197994232178,0.00612600008025765,17.506799697876,0.00857799965888262,503635968,60,73,5,102760453,128,196608,102760453,128,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-5.65727080367942,-2.38139241273579
169703241766322811,324.176629582446,51.4184165019724,0.000284819101204646,0.000281103747551787,17.5925998687744,0.00213599996641278,17.6671009063721,0.00213599996641278,16.4587993621826,0.00105099997017533,16.5405006408691,0.00105299998540431,15.7926998138428,0.000730999978259206,15.872200012207,0.000754999986384064,15.4671001434326,0.00106399995274842,15.4931001663208,0.00114599999506027,15.1709995269775,0.00154099997598678,15.2118997573853,0.00201900000683963,503635968,60,78,5,102760517,128,196608,102760517,128,196608,102760517,128,196608,102760453,128,196608,102760517,128,196608,7.89115289426654,-19.1811316298667
169703241794692290,324.179425284335,51.4180237795503,0.0319501184787739,0.0319501184787739,-999,1.2420300245285,-999,-999,23.4479999542236,0.218742996454239,-999,-999,21.3483009338379,0.0454729981720448,-999,-999,20.5790004730225,0.0571059994399548,20.8050003051758,0.0950800031423569,20.3584003448486,0.0961830019950867,20.5916004180908,0.16109399497509,436527104,52,8,3,35651585,4,196608,35651585,4,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-24.5190735777123,36.6585055654386
169703241820264735,324.182014816329,51.4201071114001,0.0277664750701468,0.0277664750701468,-999,0.692812979221344,-999,-999,24.5956993103027,0.651508986949921,-999,-999,21.7705993652344,0.0663850009441376,22.2052993774414,0.145070999860764,20.672399520874,0.056912999600172,20.8003997802734,0.0866980031132698,19.9155006408691,0.0670740008354187,20.2308006286621,0.116622000932693,436527104,52,16,3,35651585,4,196608,35651585,4,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,7.33954841919903,-51.7746765606297
169703241313363351,324.131298964686,51.4188649959433,0.00342857094590014,0.00343194790949048,22.110200881958,0.0832509994506836,-999,-999,20.1450004577637,0.0146730002015829,20.2381000518799,0.0201869998127222,19.1485996246338,0.0091930003836751,19.3153991699219,0.0129650002345443,18.7474994659424,0.0143050001934171,18.8111000061035,0.0214019995182753,18.1340999603271,0.0138720003888011,18.3299007415771,0.0228470005095005,503636096,60,41,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,2.12749467095941,-9.65383749109243
169703241300475149,324.130022358468,51.420397568898,0.0335276626254574,0.0335276626254574,-999,0.233735993504524,-999,-999,22.6772003173828,0.108061999082565,-999,-999,21.4857997894287,0.0654570013284683,21.9008007049561,0.134875997900963,20.7556991577148,0.0832730010151863,21.0965003967285,0.154007002711296,20.2070007324219,0.0859109982848167,20.4584007263184,0.144068002700806,436527104,52,7,4,35651585,4,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-125.941617539981,16.5209915149191
169703241263941524,324.12641926566,51.4173524942057,0.00269336596267132,0.0027138307212162,20.868200302124,0.0254439990967512,21.2751007080078,0.04653400182724,19.3969993591309,0.00842900015413761,19.593900680542,0.0117210000753403,18.6438999176025,0.00645199976861477,18.7789993286133,0.00907099992036819,18.315299987793,0.0100410003215075,18.3747997283936,0.0145089998841286,17.853099822998,0.0111859999597073,18.0606002807617,0.0175829995423555,503635968,60,45,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-18.7876407204365,15.9631017503627
169703241252093951,324.125242437505,51.4193828252299,0.00414042620537636,0.00415247494890725,21.8092002868652,0.0564320012927055,-999,-999,20.0200996398926,0.0129530001431704,20.2395992279053,0.0193900000303984,19.3015003204346,0.0122889997437596,19.4592990875244,0.0192629992961884,18.9480991363525,0.0214830003678799,19.0958995819092,0.0298519991338253,18.520299911499,0.0193380005657673,18.6846008300781,0.0295870006084442,436527104,52,42,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,16.9833092360815,-9.12865533580047
169703241222664525,324.122322372185,51.4198793026696,0.0127565756960912,0.0127565756960912,23.2907009124756,0.176928997039795,-999,-999,21.7255001068115,0.0538079999387264,22.2688999176025,0.126148000359535,20.7278003692627,0.0325049981474876,21.157600402832,0.0683000013232231,20.5629997253418,0.074244000017643,-999,-999,19.6993999481201,0.0536010004580021,20.2656993865967,0.126045003533363,436527104,52,27,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,14.8567719759943,-6.86042328301211
