ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,ob_j,ob_j_error,ob_h,ob_h_error,ob_k,ob_k_error,diff_j,diff_h,diff_k,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflagzinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3
1.0831189503003853e+17,189.50299449682,4.624331004658895e-07,0.265089871370429,4.599081667197476e-07,20.4484996795654,0.0134450001642108,19.1585998535156,0.00584300002083182,18.5576000213623,0.00355300004594028,18.232400894165,0.00520499981939793,18.1142997741699,0.00830699969083071,3600.0,1.75,0.5,-34.686031,-35.9549,-36.553033,-36.846087,-36.998528,-37.111328,-36.683229,-36.185653,55.07694294934098,6.472615099378295e-05,0.0039216422436280695,17.06961494934098,0.0007029861126810898,17.012713949340984,0.0007029861126810898,17.04728994934098,0.0007029861126810898,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.009718,0.029785927,16.412846,0.04009911,16.388409,0.06718391,-0.05989647,-0.5998688,-0.65888214,436527104.0,52.0,76.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0814189597677979e+17,189.597671107524,9.54990549369435e-07,0.12446527638019,9.328106634974721e-07,21.7241992950439,0.0399819985032082,20.3549003601074,0.0155729996040463,19.4102993011475,0.00737799983471632,18.9092998504639,0.0126069998368621,18.6513004302979,0.013944000005722,3300.0,4.0,-1.7,-33.590734,-34.933193,-35.928215,-36.395482,-36.616398,-36.962224,-37.044847,-36.799923,55.269892154357,0.0004497769967170919,0.013343058171157867,17.411668154357002,0.0008320452792822317,16.844045154357005,0.0008320452792822317,16.625969154357,0.0008320452792822317,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.491053,0.09802356,16.886019,0.070225954,16.69012,0.11618071,0.07938385,0.041973114,0.064151764,436527104.0,52.0,57.0,10.0,262144005.0,524416.0,0.0,262144005.0,524416.0,0.0,262144005.0,524416.0,0.0,262144005.0,524416.0,0.0,262144005.0,524416.0,0.0
1.0789189580446109e+17,189.580437065621,1.0213767809946552e-07,-0.0911203131165164,1.019430944253569e-07,17.494499206543,0.00194999994710088,16.5620002746582,0.00122400000691414,16.1879997253418,0.000824999995529652,15.9280004501343,0.00161200005095452,15.8718996047974,0.0021569998934865,4375.0,0.5,0.1,-36.140514,-37.063969,-37.429924,-37.639448,-37.752351,-37.918949,-38.08336,-37.662072,53.58085529054188,2.6464987016042647e-06,0.010053949657434254,14.765906290541878,0.0007000050028073924,14.116495290541877,0.0007000050028073924,14.074783290541875,0.0007000050028073924,3.696087467246701e+18,189.5804272699043,0.057688676,-0.09113600571415192,0.03928149,1.1024209579790964,0.068655565,18.279915,-10.050230198938248,0.080984116,-15.26919000789081,0.0884458,0.92652833,14.8101635,0.010987735,14.279952,0.008341995,14.132888,0.0127454735,0.044257164,0.16345692,0.058104515,503635968.0,60.0,72.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0809189794519454e+17,189.794524473149,1.5145747802338781e-07,0.0784374779651363,1.5098345094986093e-07,17.482400894165,0.00165500002913177,17.2436008453369,0.00162899994757026,17.0398998260498,0.00154399999883026,17.0004005432129,0.00220099999569356,17.0018005371094,0.00326799997128546,5750.0,0.25,1.0,-38.225239,-38.518125,-38.630781,-38.678967,-38.696123,-38.615116,-38.446973,-37.989155,55.66984807376091,4.660165343072547e-06,0.020490822640394812,16.15873207376091,0.0007000155120717146,15.84187507376091,0.0007000155120717146,15.836693073760914,0.0007000155120717146,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.149885,0.037596114,15.87811,0.039193086,15.706736,0.066637784,-0.008846283,0.036234856,-0.1299572,503635968.0,60.0,84.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0751189942983072e+17,189.942954452526,2.2089826471728005e-07,-0.408079931786943,2.1977820427066633e-07,17.9806003570557,0.00333800003863871,17.528299331665,0.00216899998486042,17.273099899292,0.002070999937132,17.2024002075195,0.00266900006681681,17.1770992279053,0.00585999991744757,5312.5,4.75,1.0,-37.619355,-38.082323,-38.291474,-38.367019,-38.397358,-38.389642,-38.313486,-37.885469,55.550299576546955,1.231980126420619e-05,0.00360617400339102,16.264657576546952,0.0007001084041083848,15.855813576546957,0.0007001084041083848,15.820830576546955,0.0007001084041083848,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.185713,0.025593327,15.749986,0.03556488,15.702458,0.05683934,-0.07894516,-0.105828285,-0.11837196,436527104.0,52.0,51.0,10.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0773189496094728e+17,189.496099878194,4.320264028148178e-07,-0.219277376319251,4.228358997876887e-07,18.9785995483398,0.00426399987190962,18.6058006286621,0.00406999979168177,18.5620994567871,0.0039470000192523,18.5888996124268,0.00767700001597404,18.5468006134033,0.0119479997083545,6187.5,1.5,-2.4,-38.652624,-39.001948,-39.039809,-39.005994,-39.0472,-38.879048,-38.597759,-38.127665,57.57232415164749,5.040328572800344e-05,0.00018679591602489446,17.797276151647495,0.0007018122905821604,17.59356515164749,0.0007018122905821604,17.60065915164749,0.0007018122905821604,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.68869,0.051059913,17.37583,0.10432383,17.434086,0.1511519,-0.10858536,-0.21773529,-0.16657257,436527104.0,52.0,66.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0818189973802203e+17,189.973772378715,2.2134984310671492e-07,0.151307217193708,2.190851964427343e-07,18.1581993103027,0.00241600000299513,17.6730995178223,0.00204900000244379,17.5212001800537,0.00208800006657839,17.3852996826172,0.00357199995778501,17.3894996643066,0.00501100020483136,5375.0,0.0,1.0,-37.756727,-38.205389,-38.393337,-38.466064,-38.497275,-38.469487,-38.359084,-37.913375,55.855682293475056,1.0452901610750907e-05,0.010330905559036027,16.490195293475054,0.0007000780407583744,16.115598293475053,0.0007000780407583744,16.098307293475052,0.0007000780407583744,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.50947,0.018558903,16.114525,0.02947542,16.277344,0.07060994,0.019273758,-0.0010738373,0.1790371,503635968.0,60.0,72.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0836189718461144e+17,189.718426451094,5.942467835271778e-07,0.30083621311188,5.834894855113606e-07,21.3598003387451,0.0312419999390841,20.0844993591309,0.012474000453949,18.8962993621826,0.00600400008261204,18.3812007904053,0.0055650002323091,18.1291999816895,0.00940900016576052,3300.0,3.5,-2.4,-33.433769,-34.704575,-35.861671,-36.385927,-36.641518,-36.99588,-37.082971,-36.845989,54.7428270018268,0.0002574419552431476,0.0016427922341628197,16.850947001826796,0.0007458393662977403,16.278856001826796,0.0007458393662977403,16.052838001826792,0.0007458393662977403,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.52338,0.06156309,16.288795,0.05884584,15.404802,0.059887238,-0.32756615,0.009939194,-0.64803505,436527104.0,52.0,52.0,5.0,262160391.0,524416.0,196608.0,262160391.0,524416.0,196608.0,262160391.0,524416.0,196608.0,262160391.0,524416.0,196608.0,262160391.0,524416.0,196608.0
1.0789189987916205e+17,189.988070821337,7.35572885605965e-07,-0.0903731611670279,7.309437365812664e-07,20.9328994750977,0.0184230003505945,19.8449993133545,0.00887800008058548,19.1776008605957,0.00565600022673607,18.7525997161865,0.0112479999661446,18.6840000152588,0.0167490001767874,4000.0,4.75,-3.5,-35.118629,-36.191566,-36.88445,-37.197937,-37.341106,-37.600089,-37.871673,-37.514314,55.99205708432521,0.00017145253521482653,0.030482082799319556,17.495968084325213,0.0007206913152186526,16.73938408432521,0.0007206913152186526,16.63374308432521,0.0007206913152186526,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.622671,0.048042428,17.174372,0.078612566,16.882492,0.122490175,0.12670326,0.43498802,0.24874878,436527232.0,52.0,81.0,10.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0773190038873725e+17,190.038872775085,3.853644190810066e-07,-0.219339278113301,3.940793939383184e-07,20.6366004943848,0.0154039999470115,19.4719009399414,0.00647599995136261,18.3013000488281,0.00362100009806454,17.8479995727539,0.00366399995982647,17.5070991516113,0.00590700004249811,3400.0,4.5,-3.0,-33.691258,-34.812429,-35.976509,-36.481607,-36.73823,-37.091103,-37.246044,-36.991261,54.26008137565058,6.813019533108867e-05,0.01929379204124447,16.27297837565058,0.0007033077018744016,15.63303737565058,0.0007033077018744016,15.424820375650578,0.0007033077018744016,3.6958883182031734e+18,190.03887382812906,0.21224654,-0.2193287526419634,0.10172001,1.370981988136889,0.22237243,7.9561687,-5.37958274761946,0.29971203,5.861801073086036,0.2241741,0.99839944,16.373878,0.028882798,15.574426,0.031220865,15.353226,0.042411596,0.10090065,-0.05861187,-0.07159424,503635968.0,60.0,77.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
