ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflag,zinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3,diff_j,diff_h,diff_k,observed_j,obseved_j_error,observed_h,observed_h_error,observed_k,observed_k_error
1.0811227127440998e+17,227.12741714,0.003719999920576811,0.09964115,0.0024999999441206455,21.045416699812343,0.029111187684883227,19.88995216971084,0.008965308513743157,"[18.43270614 14.07429745 18.52469072 ... 20.64071144 21.36089254
 20.93666488]",0.004214534935151321,"[17.65568604 13.92248829 18.4150867  ... 20.10614199 21.57475725
 20.51431932]",0.006148369061706771,"[17.41154994 14.01591656 18.35791626 ... 19.91339738 20.89128081
 20.33547164]",0.006853220920432736,3500.0,3.25,-3.0,-33.677217,-34.602317,-35.952519,-36.488743,-36.782246,-37.192955,-37.549409,-37.234588,54.3876705985638,0.0064198734847157645,3.507723761476336,16.31823837605464,0.0064198734847157645,15.469491114915549,0.0064198734847157645,15.317361694194597,0.0064198734847157645,4.419405211669079e+18,227.12740898478222,0.28362677,0.09964029648559841,0.2599634,2.2467311274929425,0.30553517,26.966238,-26.607239373750936,0.39981693,-4.385522110031133,0.38143197,1.1051465,503635968.0,60.0,60.0,5.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,[-0.14760315],[0.1412629],[-0.01858793],[16.17063522],[0.01370312],[15.61075401],[0.01731497],[15.29877377],[0.02445675]
1.07722273249493e+17,227.32491108,0.0023900000378489494,-0.23122742,0.0031999999191612005,14.61427863161681,0.0004731255116675999,14.245041571628073,0.0003720482393617512,"[18.43270614 14.07429745 18.52469072 ... 20.64071144 21.36089254
 20.93666488]",0.00035445250783884563,"[17.65568604 13.92248829 18.4150867  ... 20.10614199 21.57475725
 20.51431932]",0.00048716456571744663,"[17.41154994 14.01591656 18.35791626 ... 19.91339738 20.89128081
 20.33547164]",0.0008191275940577935,5625.0,0.25,1.0,-38.070312,-38.415792,-38.554153,-38.608828,-38.629676,-38.567315,-38.419077,-37.965089,52.63015670043724,0.00023632211508479116,0.07473597412543062,13.186364477928077,0.00023632211508479116,12.842309216788983,0.00023632211508479116,12.82934679606804,0.00023632211508479116,4.4193139221393505e+18,227.32490911720475,0.01727392,-0.23122992989939264,0.017013349,0.7866493565810929,0.02047746,9.37259,-4.734345204194478,0.025032895,-8.088968863134625,0.02531088,1.0425019,503635968.0,60.0,70.0,5.0,262144069.0,524416.0,196608.0,263192581.0,524416.0,196608.0,263192581.0,524416.0,196608.0,263192581.0,524416.0,196608.0,263208967.0,524416.0,196608.0,[-0.09464676],[-0.12951873],[-0.16307368],[13.09171772],[0.00147553],[12.71279049],[0.00175281],[12.66627312],[0.00273131]
1.0791227243482318e+17,227.24342333,0.0037700000684708357,-0.07272124,0.005350000225007534,19.05343936079731,0.006646321309768034,18.74042732117548,0.0048222111968235426,"[18.43270614 14.07429745 18.52469072 ... 20.64071144 21.36089254
 20.93666488]",0.005932585996470865,"[17.65568604 13.92248829 18.4150867  ... 20.10614199 21.57475725
 20.51431932]",0.006693364364207726,"[17.41154994 14.01591656 18.35791626 ... 19.91339738 20.89128081
 20.33547164]",0.012087138452835402,5562.5,0.0,1.0,-38.00284,-38.370973,-38.519174,-38.579553,-38.602924,-38.544895,-38.3994,-37.94779,57.033404873731314,0.003426502163285629,0.1331602567583405,17.612032651222155,0.003426502163285629,17.26523439008306,0.003426502163285629,17.249893969362113,0.003426502163285629,4.419352160232622e+18,227.24342030603228,0.21521121,-0.07272527039481556,0.19422576,0.1848478295404552,0.23167862,15.6329975,-7.550623359090302,0.30934888,-13.688633566869273,0.3034217,1.0468583,436527104.0,52.0,60.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,[-0.01475215],[0.01471289],[0.17065733],[17.5972805],[0.07176213],[17.27994728],[0.11718369],[17.4205513],[0.19332853]
1.0808227188218267e+17,227.18815234,0.003980000037699938,0.06854476,0.00418000016361475,20.497538896113447,0.017380402001798627,19.178203154198915,0.007252586059793193,"[18.43270614 14.07429745 18.52469072 ... 20.64071144 21.36089254
 20.93666488]",0.004851591043265244,"[17.65568604 13.92248829 18.4150867  ... 20.10614199 21.57475725
 20.51431932]",0.005361440042796424,"[17.41154994 14.01591656 18.35791626 ... 19.91339738 20.89128081
 20.33547164]",0.007605210383061372,3600.0,5.25,-3.9,-35.051259,-36.089317,-36.781863,-36.949897,-37.401318,-37.628562,-37.949038,-37.48536,55.25803119403929,0.0043118468351881385,0.7961349192806582,16.752991971530125,0.0043118468351881385,15.940222710391033,0.0043118468351881385,15.936950289670088,0.0043118468351881385,4.419404146517164e+18,227.1881501654005,0.2608698,0.06854192325230449,0.24586818,0.7523794833322359,0.28496245,12.661765,-6.362328076297075,0.36294928,-10.94719474177372,0.3448005,0.9266044,503635968.0,60.0,61.0,10.0,262144069.0,524416.0,0.0,262144069.0,524416.0,0.0,262144069.0,524416.0,0.0,262144069.0,524416.0,0.0,262144069.0,524416.0,0.0,[-0.05896502],[0.11487487],[-0.0055643],[16.69402695],[0.02244281],[16.05509758],[0.02543873],[15.93138599],[0.04127663]
1.0813227234977394e+17,227.23492571,0.0027600000612437725,0.11127285,0.0027600000612437725,19.025732952956965,0.005361977426196505,18.201006662941815,0.003112985412259737,"[18.43270614 14.07429745 18.52469072 ... 20.64071144 21.36089254
 20.93666488]",0.0030291893622270073,"[17.65568604 13.92248829 18.4150867  ... 20.10614199 21.57475725
 20.51431932]",0.003959620106447805,"[17.41154994 14.01591656 18.35791626 ... 19.91339738 20.89128081
 20.33547164]",0.006299268648018424,4812.5,0.0,-0.7,-36.874136,-37.697085,-37.954154,-38.050673,-38.18856,-38.251847,-38.221467,-37.785013,55.83370042959827,0.0020295501489296162,0.1886428535130057,16.705376207089106,0.0020295501489296162,16.243462945950014,0.0020295501489296162,16.212966525229064,0.0020295501489296162,4.419405800079784e+18,227.23491283179115,0.14917403,0.11127822045587707,0.12208881,0.3509268534599704,0.164778,18.578035,-18.514918874774693,0.2007446,1.530081479066962,0.17527543,1.0343019,503635968.0,60.0,73.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,[-0.028647],[-0.26485005],[-0.44377192],[16.6767292],[0.02520432],[15.9786129],[0.02743706],[15.7691946],[0.04004307]
1.0771227337896768e+17,227.33785065,0.0017900000093504786,-0.23564028,0.004550000187009573,16.427608855645587,0.0013864485708957764,15.960765050088927,0.0008503287038446945,"[18.43270614 14.07429745 18.52469072 ... 20.64071144 21.36089254
 20.93666488]",0.000909319274534394,"[17.65568604 13.92248829 18.4150867  ... 20.10614199 21.57475725
 20.51431932]",0.0010982727640704124,"[17.41154994 14.01591656 18.35791626 ... 19.91339738 20.89128081
 20.33547164]",0.0018969130856590626,5312.5,2.0,1.0,-37.648002,-38.095011,-38.296027,-38.370325,-38.403229,-38.404643,-38.347325,-37.901529,54.03480977415293,0.0005753830865155613,0.12488436178941911,14.75368955164377,0.0005753830865155613,14.31871429050468,0.0005753830865155613,14.297559869783734,0.0005753830865155613,4.419313853419873e+18,227.33785018573772,0.039241165,-0.23564270499265977,0.038943574,0.9610608379157447,0.044381313,7.259536,-1.5459638544253314,0.054358326,-7.093014397671521,0.05515517,0.91734815,503635968.0,60.0,62.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,[-0.05300977],[-0.52025524],[-0.09046377],[14.70067978],[0.00438397],[13.79845905],[0.00376788],[14.2070961],[0.00954689]
1.0803227154916981e+17,227.15490521,0.0030499999411404133,0.03282465,0.0016400000313296914,20.63903251871643,0.018762396111450887,19.483687151374145,0.007531536726713227,"[18.43270614 14.07429745 18.52469072 ... 20.64071144 21.36089254
 20.93666488]",0.0041196759591303105,"[17.65568604 13.92248829 18.4150867  ... 20.10614199 21.57475725
 20.51431932]",0.004318543393137539,"[17.41154994 14.01591656 18.35791626 ... 19.91339738 20.89128081
 20.33547164]",0.00633725086861414,3400.0,5.25,-3.9,-33.768109,-34.920906,-35.953811,-36.371386,-36.883879,-37.315431,-37.613851,-37.226192,54.242295984219965,0.004402425917274322,2.4989578385601425,16.050387761710805,0.004402425917274322,15.259674500571712,0.004402425917274322,15.180383079850765,0.004402425917274322,4.419356665653915e+18,227.1549056670278,0.2582611,0.032825025039850825,0.22453095,1.5107674905589448,0.28168133,1.2363875,1.1381489425954916,0.35175222,-0.4829815276299996,0.3270388,1.0684828,503635968.0,60.0,66.0,5.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,[0.18378124],[0.37404304],[0.28253616],[16.23416901],[0.01486735],[15.63371754],[0.01742842],[15.46291924],[0.02710728]
1.0824227218499189e+17,227.21846742,0.0022700000554323196,0.20126144,0.003860000055283308,15.25400866795022,0.0006336759851844863,14.427882519616366,0.00039834653653827155,"[18.43270614 14.07429745 18.52469072 ... 20.64071144 21.36089254
 20.93666488]",0.00041073593676248894,"[17.65568604 13.92248829 18.4150867  ... 20.10614199 21.57475725
 20.51431932]",0.0005267629222386726,"[17.41154994 14.01591656 18.35791626 ... 19.91339738 20.89128081
 20.33547164]",0.0007383543284470708,4937.5,2.0,-1.9,-37.094446,-37.835996,-38.057939,-38.149005,-38.263704,-38.317321,-38.281587,-37.834787,52.27091867514298,0.00024912450844520904,0.09192753235900278,13.077120452633817,0.00024912450844520904,12.620561191494723,0.00024912450844520904,12.60041077077378,0.00024912450844520904,4.4194075180667556e+18,227.21846208667222,0.019653682,0.20126472334470977,0.017828722,2.45844950031798,0.022629552,16.741547,-15.52377407997011,0.027585251,6.268317553146322,0.02580921,1.0368819,503635968.0,60.0,83.0,5.0,262144069.0,524416.0,196608.0,263192581.0,524416.0,196608.0,263192581.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,[-0.19068876],[-0.25500734],[-0.34327156],[12.88643169],[0.00131347],[12.36555386],[0.00146516],[12.25713921],[0.00206018]
1.0809227072192528e+17,227.07217551,0.004050000105053186,0.07894901,0.0055599999614059925,16.848860507936404,0.001635948265044508,15.656930194579262,0.000722444850881999,"[18.43270614 14.07429745 18.52469072 ... 20.64071144 21.36089254
 20.93666488]",0.00043291858123894545,"[17.65568604 13.92248829 18.4150867  ... 20.10614199 21.57475725
 20.51431932]",0.0005306972726260241,"[17.41154994 14.01591656 18.35791626 ... 19.91339738 20.89128081
 20.33547164]",0.0007074356880551735,3600.0,5.25,-3.8,-34.710644,-35.721542,-36.595287,-36.865073,-37.264321,-37.534743,-37.866763,-37.442545,51.327359963667725,0.000408302663932372,1.2458166007923306,12.916139741158563,0.000408302663932372,12.09182648001947,0.000408302663932372,12.04909405929852,0.000408302663932372,4.4194047349279007e+18,227.07215831111085,0.034175236,0.07892418199838318,0.029414544,5.792948137935393,0.037836533,74.40315,-41.55629058576881,0.04401165,-61.71632179464929,0.035537638,1.1796857,503635968.0,60.0,78.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,[-0.06828322],[0.1955299],[-0.00730119],[12.84785652],[0.00126292],[12.28735638],[0.00135603],[12.04179287],[0.00175642]
1.0789227284430893e+17,227.28437028,0.004540000110864639,-0.08457537,0.004769999999552965,18.853201475831845,0.006265796861081867,17.701538933712854,0.002478403142716914,"[18.43270614 14.07429745 18.52469072 ... 20.64071144 21.36089254
 20.93666488]",0.001493357999169829,"[17.65568604 13.92248829 18.4150867  ... 20.10614199 21.57475725
 20.51431932]",0.0013268434209072078,"[17.41154994 14.01591656 18.35791626 ... 19.91339738 20.89128081
 20.33547164]",0.0019508630923837085,3600.0,5.25,-3.7,-34.370028,-35.353768,-36.408712,-36.78025,-37.127324,-37.440923,-37.784489,-37.399731,52.988639595391106,0.0014587555082972148,1.9297094475388954,14.671239372881946,0.0014587555082972148,13.83538011174285,0.0014587555082972148,13.753187691021902,0.0014587555082972148,4.419351163800198e+18,227.2843745053594,0.08440024,-0.08457459196257248,0.0788707,2.3151433570790254,0.09142496,9.241042,9.240344589326188,0.12269077,0.11355068634989891,0.114929035,1.0464292,503635968.0,60.0,62.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,[-0.04503393],[0.22797724],[0.04993101],[14.62620544],[0.00491823],[14.06335735],[0.00714529],[13.80311871],[0.00867262]
