objid,raMean,decMean,raMeanErr,decMeanErr,gPSFMag,gPSFMagErr,gKronMag,gKronMagErr,rPSFMag,rPSFMagErr,rKronMag,rKronMagErr,iPSFMag,iPSFMagErr,iKronMag,iKronMagErr,zPSFMag,zPSFMagErr,zKronMag,zKronMagErr,yPSFMag,yPSFMagErr,yKronMag,yKronMagErr,objInfoFlag,qualityFlag,nDetections,nStackDetections,ginfoFlag,ginfoFlag2,ginfoFlag3,rinfoFlag,rinfoFlag2,rinfoFlag3,iinfoFlag,iinfoFlag2,iinfoFlag3,zinfoFlag,zinfoFlag2,zinfoFlag3,yinfoFlag,yinfoFlag2,yinfoFlag3,pmra,pmdec
169053347875779021,334.787554867056,50.8819501456293,0.00180569729174187,0.00175579925810876,19.4895992279053,0.0100429998710752,19.5251007080078,0.0121609997004271,18.8980007171631,0.00534699996933341,18.9916000366211,0.00712700001895428,18.6117992401123,0.00401500007137656,18.761100769043,0.00552000012248755,18.4929008483887,0.00948899984359741,18.6501998901367,0.0137099996209145,18.3838996887207,0.0204119998961687,18.6567993164063,0.0342499986290932,436527104,52,58,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,0.391903458303929,-2.43516350757191
169053347896939540,334.789673213793,50.8823776779483,0.00200405943716211,0.00187749635227921,19.6149997711182,0.0134020000696182,19.5958995819092,0.0175299998372793,18.9619998931885,0.0063769998960197,18.934700012207,0.00873500015586615,18.5345001220703,0.00458100019022822,18.6233005523682,0.00608200021088123,18.2999000549316,0.00969699956476688,18.4766006469727,0.0137000000104308,18.2301006317139,0.0180130004882813,18.4466991424561,0.0279450006783009,436527104,52,48,5,35667969,0,196608,35667969,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-6.17121858037276,-5.87964428909061
169053347934547088,334.793414347031,50.8803241030873,0.00892430983153393,0.00892430983153393,22.3535995483398,0.117131002247334,22.7891998291016,0.252323001623154,21.0988998413086,0.0349289998412132,21.0930995941162,0.0536950007081032,20.4775009155273,0.0222440008074045,20.5594005584717,0.0339239984750748,20.0835990905762,0.0401129983365536,20.4137001037598,0.0767050012946129,19.8967990875244,0.0679360032081604,19.6833000183105,0.0923530012369156,436527104,52,30,5,35651585,0,196608,35667969,0,196608,35651585,0,196608,35651585,0,196608,35667969,0,196608,-6.66334921387396,-7.24434185491912
169053347941488926,334.794132724793,50.8818611261477,0.0106738997465355,0.0106738997465355,21.4612998962402,0.0711639970541,21.5834999084473,0.104149997234344,21.1231994628906,0.0438890010118485,21.5634994506836,0.0960410013794899,20.5830993652344,0.0218170005828142,20.6466007232666,0.0363189987838268,20.2705001831055,0.0420209988951683,20.5330009460449,0.079525999724865,20.5702991485596,0.118977002799511,-999,-999,436527104,52,34,4,35651585,0,196608,35651585,0,196608,35667969,0,196608,35667969,0,196608,35651585,4,196608,25.7641527779982,-54.8109728499617
169053347944978496,334.794378859376,50.8815516413606,0.0335122278610108,0.0335122278610108,27.4629993438721,16.3752994537354,-999,-999,22.2562999725342,0.120088003575802,-999,-999,21.0209999084473,0.0323130004107952,-999,-999,20.8106994628906,0.0731780007481575,-999,-999,19.9477005004883,0.0696119964122772,20.2483997344971,0.126223996281624,436527104,52,8,1,35651585,4,196608,35651585,4,196608,35651585,4,196608,35651585,4,196608,35667969,0,196608,24.8027838754855,-9.57330830706028
169053347945677078,334.794528518208,50.8803321844981,0.00976903183810483,0.00976903183810483,21.8957004547119,0.102629996836185,22.1574001312256,0.170066997408867,20.9971008300781,0.0399999991059303,21.1305999755859,0.0632079988718033,20.4916000366211,0.021382000297308,20.6714000701904,0.0369959995150566,20.3990001678467,0.0532150007784367,20.6574001312256,0.0957280024886131,19.9053993225098,0.0698740035295486,20.1865005493164,0.124881997704506,436527104,52,27,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,9.47435741951262,2.39978602728264
169053347955703747,334.795545500291,50.877546061789,0.0026310776512383,0.00253609316612934,20.3040008544922,0.0275289993733168,20.4407005310059,0.0374730005860329,19.2670001983643,0.0102169997990131,19.2868003845215,0.014130000025034,18.7817993164063,0.00576299987733364,18.7740993499756,0.00704600010067225,18.4125995635986,0.0083210002630949,18.5370998382568,0.0119260000064969,18.198600769043,0.01566799916327,18.4300003051758,0.0262889992445707,436527104,52,49,5,35651585,0,196608,35651585,0,196608,35667969,0,196608,35651585,0,196608,35651585,0,196608,5.44873825004811,-2.38709169308045
169053347962535511,334.796218175915,50.8790245713548,0.00749110841670211,0.00749110841670211,21.6063995361328,0.0754780024290085,21.9578990936279,0.139877006411552,20.7052993774414,0.0328960008919239,20.7894992828369,0.0501120015978813,20.3335990905762,0.0206739995628595,20.4129009246826,0.0322129987180233,19.9699993133545,0.0323969982564449,20.2497005462646,0.059239000082016,19.7224006652832,0.0591159984469414,19.8339996337891,0.0900570005178452,436527104,52,35,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,7.69031021685771,2.74962761704597
169053347969758025,334.796971014264,50.8811437830875,0.0062702997591797,0.0062702997591797,22.577299118042,0.166896000504494,-999,-999,21.2273006439209,0.0419059991836548,21.3243999481201,0.0729819983243942,20.1294002532959,0.0124869998544455,20.0767993927002,0.0180649999529123,19.5869007110596,0.0261160004884005,19.6599006652832,0.038417998701334,19.3048992156982,0.0386699996888638,19.4799995422363,0.0636880025267601,436527104,52,41,5,35667969,0,196608,35651585,0,196608,35667969,0,196608,35651585,0,196608,35651585,0,196608,-4.34324172401403,-5.14843542899253
169053347995418934,334.799515692573,50.881871443703,0.00170643123350962,0.00163644196477087,19.8537006378174,0.0173330008983612,19.9748001098633,0.0228489991277456,18.8586006164551,0.00632999977096915,19.0100002288818,0.00898099970072508,18.4176006317139,0.00355800008401275,18.5396003723145,0.00470799999311566,18.2140998840332,0.00850099977105856,18.3334007263184,0.0136620001867414,18.0112991333008,0.0128659997135401,18.221700668335,0.0206729993224144,436527104,52,50,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-0.572033864028288,-14.9256258373808
