source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,ruwe,dist
2557514662397243904,11.263524574954804,0.13260202,7.65738611782385,0.06459601,2.2525861383925734,0.15103155,31.421606,5.489683091172667,0.16629761,-30.93833659679634,0.14429243,0.997015,0.20079176440578295
2557594407054621952,11.286141196049554,0.5582962,7.9872943585703835,0.2411453,-0.31001979542442937,0.63786304,3.241267,2.0621750391551132,0.7928033,-2.5006489078902097,0.6602805,1.0818859,0.2008722144133397
2557580972396892672,10.972189671966142,6.960942,7.907289402702248,2.3557155,,,,,,,,,0.20146389209986323
2557513219288232576,11.223583611405934,0.4178234,7.638400782653368,0.22891411,0.10413640548070925,0.5045132,11.736385,10.010987246000603,0.4801686,-6.125591247399546,0.44643924,1.0637093,0.2016917332336024
2557513837763167616,11.10485526495468,2.1949432,7.635640847114233,1.3103012,,,,,,,,,0.20189771848744412
2557540702783502336,11.36385099754591,0.088836566,7.83442129801853,0.036553573,5.605008634584967,0.08790913,21.615923,7.6184735876647505,0.11604944,-20.22886548736297,0.09346214,0.9993542,0.20199060388425583
2557514761180984064,11.272592520460567,0.2438125,7.660887557551455,0.12435575,0.37155929633578005,0.2830554,25.00622,23.087445424230456,0.30631676,-9.60629310087368,0.25432146,0.9855815,0.20259495201581046
2557513283712226432,11.20320802381881,7.4766827,7.631776831098738,3.031932,,,,,,,,,0.2027942870547236
2557542180252253312,11.36462997498219,0.31725115,7.8415441119048666,0.1376452,1.2285297777615383,0.32714906,8.781136,-3.619250155549311,0.40667856,-8.000585642384715,0.29742458,1.0157634,0.20304057995868216
2557605784423383680,11.129959490747044,0.27658558,8.031039256448162,0.12618414,0.6548025173707164,0.2964225,19.045046,11.999900823620699,0.39240465,-14.789056261142202,0.30841962,0.9881067,0.20322866628666897
2557565274291820672,10.981035374665568,0.12753291,7.729907858992762,0.06787368,1.0628601365788466,0.15046953,26.596426,-20.506024022201498,0.17426091,-16.93732159279175,0.1594849,1.0571415,0.20362381177645186
2557595334767573888,11.2136388934184,0.28610793,8.02705379000539,0.13229573,1.0523026390352264,0.30507204,20.640944,15.969759365254514,0.38990808,-13.077283549902006,0.32973206,0.9989576,0.20408642976782063
2557595437847049216,11.25034087658545,1.5770037,8.013556633193028,0.6080255,-0.8488541905885396,1.5191997,5.9515657,1.8193236680447098,2.9935815,-5.666674157286105,1.7400825,1.0343292,0.20420012440188468
2557589837209393408,11.348908641855129,0.7624325,7.912050436127344,0.34008127,-0.6943235211330928,0.85620135,17.61209,-7.9341440657867635,0.97473055,-15.723710175613707,0.70450747,0.9906313,0.2043198538039815
2557582278066967296,10.998822259399878,4.518088,7.957598560585514,2.21049,,,,,,,,,0.20438092900064395
2557513322367415936,11.17272995116688,0.34587428,7.625710024955933,0.2100549,0.17699657818390668,0.4265417,19.251629,9.127679947845444,0.49518508,-16.95024100845827,0.49993235,1.0268273,0.20468002358728285
2557581075476112256,10.97476077592928,0.517584,7.920796434263436,0.23003235,0.5320708176109945,0.51228654,5.2062187,-5.18115620703438,0.73566824,0.5102275411546977,0.4626737,0.94209987,0.20473322712392533
